#: table_doi: 10.17182/hepdata.73192.v1/t27,,,,,,,,
#: name: Table 27,,,,,,,,
#: description: Correlated yield obtained with the ZYAM procedure as a function of $|\Delta\Phi|$, averaged over 2 $<|\Delta\eta|<$ 4 in for 1.0 $<p_{T}<$ 2.0 $GeV/c$ and $N_{offline}^{trk}>$ 105 bins for pp data at $\sqrt =$ 13 $TeV$. The $p_{T}$ selection applies to both particles in the pair. Only statistical uncertainties are given. The subtracted ZYAM constant is given ($C_{ZYAM}$).,,,,,,,
,,,,,,,,
#: data_file: Table27.yaml,,,,,,,,
#: keyword reactions: P P --> CHARGED X,,,,,,,,
,,,,,,,,
,Delta phi Correlation data,,,,,,,
,,,,,,,,
#: keyword observables: CORR,,,,,,,,
#: keyword phrases: Inclusive | Proton-Proton Scattering,,,,,,,,
#: keyword cmenergies: 13000.0,,,,,,,,
#: $C_{ZYAM}$,1.27,,,,,,,
#: $\Delta\Phi_{ZYAM}$,1.18,,,,,,,
#: $p_{T}$,1.0 < $p_{T}$ < 2.0,,,,,,,
#: $|\Delta\eta|$,> 2,,,,,,,
#: Muliplicity Class,$N_{offline}^{trk}$ > 105,,,,,,,
#: RE,P P --> CHARGED X,,,,,,,
#: SQRT(S) [GeV],13000,,,delta phi LOW,delta phi HIGH,,,
$\Delta\Phi$ [RAD],$\frac{1}{N_{trig}}\frac{dN^{pair}}{d\Delta\Phi} - C_{ZYAM}$,error +,error -,,,,,
-1.37,0.00235,0.000761,-0.000761,,,,,
-1.18,-0.000252,0.00076,-0.00076,-1.275,-1.081,-0.000048888,,
-0.982,0.00031,0.00076,-0.00076,-1.081,-0.8835,0.000061225,,
-0.785,0.00571,0.000762,-0.000762,-0.8835,-0.687,0.001122015,,
-0.589,0.00685,0.000762,-0.000762,-0.687,-0.491,0.0013426,,
-0.393,0.0105,0.000763,-0.000763,-0.491,-0.2945,0.00206325,,
-0.196,0.0138,0.000764,-0.000764,-0.2945,-0.098,0.0027117,,
0,0.0164,0.000765,-0.000765,-0.098,0.098,0.0032144,,
0.196,0.0138,0.000764,-0.000764,0.098,0.2945,0.0027117,,
0.393,0.0105,0.000763,-0.000763,0.2945,0.491,0.00206325,,
0.589,0.00685,0.000762,-0.000762,0.491,0.687,0.0013426,,
0.785,0.00571,0.000762,-0.000762,0.687,0.8835,0.001122015,,
0.982,0.00031,0.00076,-0.00076,0.8835,1.081,0.000061225,,
1.18,-0.000252,0.00076,-0.00076,1.081,1.275,-0.000048888,,
1.37,0.00235,0.000761,-0.000761,,,SUM,,
,,,,,integrate result :,0.017718204,,
,pT distribution data,,,,,,,
,,,,,,,,
#: table_doi: 10.17182/hepdata.73192.v1/t33,,,,,,,,
#: name: Table 33,,,,,,,,
