Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
1,79.04179823134122,81.01872118588955,2.0,0.7,5.0,2.0,1.0
2,79.04179823134122,81.01872118588955,2.0,0.7,5.0,2.0,1.0
3,79.04179814856133,81.01872123277275,2.000000014901161,0.7,5.0,2.0,1.0
4,79.04179829967117,81.01872137486588,2.0,0.7000000149011611,5.0,2.0,1.0
5,79.04179816888089,81.01872112932091,2.0,0.7,5.000000014901161,2.0,1.0
6,79.04179837687707,81.01872133548348,2.0,0.7,5.0,2.000000014901161,1.0
7,79.04179896036935,81.01872177055627,2.0,0.7,5.0,2.0,1.0000000149011612
8,79.04179823134122,81.01872118588955,2.0,0.7,5.0,2.0,1.0
9,79.04179823134122,81.01872118588955,2.0,0.7,5.0,2.0,1.0
10,79.04179814856133,81.01872123277275,2.000000014901161,0.7,5.0,2.0,1.0
11,79.04179829967117,81.01872137486588,2.0,0.7000000149011611,5.0,2.0,1.0
12,79.04179816888089,81.01872112932091,2.0,0.7,5.000000014901161,2.0,1.0
13,79.04179837687707,81.01872133548348,2.0,0.7,5.0,2.000000014901161,1.0
14,79.04179896036935,81.01872177055627,2.0,0.7,5.0,2.0,1.0000000149011612
15,1099.7276507102079,513.4001884713027,3.0,1.0,6.7197908397871,7.638334409421077e-14,0.0
16,1099.7276507102079,513.4001884713027,3.0,1.0,6.7197908397871,7.638334409421077e-14,0.0
17,69.7141853739923,74.06984971300211,2.1,0.73,5.17197908397871,1.8000000000000076,0.9
18,69.7141853739923,74.06984971300211,2.1,0.73,5.17197908397871,1.8000000000000076,0.9
19,69.71418536607543,74.06984978343505,2.1000000149011613,0.73,5.17197908397871,1.8000000000000076,0.9
20,69.71418532958896,74.06984995027803,2.1,0.7300000149011612,5.17197908397871,1.8000000000000076,0.9
21,69.7141853053228,74.0698496382939,2.1,0.73,5.171979098879871,1.8000000000000076,0.9
22,69.71418553424547,74.06984990918788,2.1,0.73,5.17197908397871,1.8000000149011688,0.9
23,69.71418624567576,74.06985054672951,2.1,0.73,5.17197908397871,1.8000000000000076,0.9000000149011612
24,69.7141853739923,74.06984971300211,2.1,0.73,5.17197908397871,1.8000000000000076,0.9
25,69.71418536607543,74.06984978343505,2.1000000149011613,0.73,5.17197908397871,1.8000000000000076,0.9
26,69.71418532958896,74.06984995027803,2.1,0.7300000149011612,5.17197908397871,1.8000000000000076,0.9
27,69.7141853053228,74.0698496382939,2.1,0.73,5.171979098879871,1.8000000000000076,0.9
28,69.71418553424547,74.06984990918788,2.1,0.73,5.17197908397871,1.8000000149011688,0.9
29,69.71418624567576,74.06985054672951,2.1,0.73,5.17197908397871,1.8000000000000076,0.9000000149011612
30,449.95909404698284,201.14518684928936,2.467096638154698,0.9999999999996626,6.1012506602779375,1.5224420863941495,1.432187701766452e-14
31,449.95909404698284,201.14518684928936,2.467096638154698,0.9999999999996626,6.1012506602779375,1.5224420863941495,1.432187701766452e-14
32,63.163069992645134,68.11576430748867,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000000000014
33,63.163069992645134,68.11576430748867,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000000000014
34,63.16306997316497,68.11576437201715,2.136709678716631,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000000000014
35,63.16306988882483,68.11576458748634,2.13670966381547,0.7570000149011274,5.2649062416086325,1.772244208639422,0.8100000000000014
36,63.16306991577609,68.11576421724735,2.13670966381547,0.7569999999999663,5.264906256509794,1.772244208639422,0.8100000000000014
37,63.16307016957601,68.11576454186606,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244223540583,0.8100000000000014
38,63.16307102723806,68.11576536349817,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000149011626
39,63.163069992645134,68.11576430748867,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000000000014
40,63.16306997316497,68.11576437201715,2.136709678716631,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000000000014
41,63.16306988882483,68.11576458748634,2.13670966381547,0.7570000149011274,5.2649062416086325,1.772244208639422,0.8100000000000014
42,63.16306991577609,68.11576421724735,2.13670966381547,0.7569999999999663,5.264906256509794,1.772244208639422,0.8100000000000014
43,63.16307016957601,68.11576454186606,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244223540583,0.8100000000000014
44,63.16307102723806,68.11576536349817,2.13670966381547,0.7569999999999663,5.2649062416086325,1.772244208639422,0.8100000149011626
45,420.2824617809872,146.93751962789904,2.745838577748773,1.0,6.1637876479420415,2.3317378958164356,0.0
46,420.2824617809872,146.93751962789904,2.745838577748773,1.0,6.1637876479420415,2.3317378958164356,0.0
47,59.17397576704604,62.863562235517,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000000000012
48,59.17397576704604,62.863562235517,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000000000012
49,59.17397599826164,62.86356228869086,2.1976225701099614,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000000000012
50,59.17397551033889,62.86356254129617,2.1976225552088002,0.7813000149011309,5.354794382241973,1.8281935773571232,0.7290000000000012
51,59.173975734226715,62.86356213217484,2.1976225552088002,0.7812999999999697,5.354794397143134,1.8281935773571232,0.7290000000000012
