#: table_doi: 10.17182/hepdata.91996.v2/t1
#: name: Table 1
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,4.869e+00,2.533e-03,-2.533e-03,3.658e-01,-3.658e-01,3.328e-01,-3.328e-01
0.225,0.2,0.25,5.028e+00,1.831e-03,-1.831e-03,3.670e-01,-3.670e-01,3.435e-01,-3.435e-01
0.275,0.25,0.3,4.834e+00,1.735e-03,-1.735e-03,3.525e-01,-3.525e-01,3.302e-01,-3.302e-01
0.32499999999999996,0.3,0.35,4.475e+00,1.643e-03,-1.643e-03,3.322e-01,-3.322e-01,3.057e-01,-3.057e-01
0.375,0.35,0.4,3.993e+00,1.527e-03,-1.527e-03,2.985e-01,-2.985e-01,2.719e-01,-2.719e-01
0.42500000000000004,0.4,0.45,3.516e+00,1.423e-03,-1.423e-03,2.667e-01,-2.667e-01,2.395e-01,-2.395e-01
0.475,0.45,0.5,3.046e+00,1.344e-03,-1.344e-03,2.320e-01,-2.320e-01,2.067e-01,-2.067e-01
0.525,0.5,0.55,2.632e+00,1.285e-03,-1.285e-03,2.028e-01,-2.028e-01,1.787e-01,-1.787e-01
0.575,0.55,0.6,2.260e+00,1.211e-03,-1.211e-03,1.757e-01,-1.757e-01,1.531e-01,-1.531e-01
0.625,0.6,0.65,1.946e+00,1.147e-03,-1.147e-03,1.515e-01,-1.515e-01,1.320e-01,-1.320e-01
0.675,0.65,0.7,1.670e+00,1.085e-03,-1.085e-03,1.280e-01,-1.280e-01,1.134e-01,-1.134e-01
0.725,0.7,0.75,1.447e+00,1.026e-03,-1.026e-03,1.095e-01,-1.095e-01,9.836e-02,-9.836e-02
0.775,0.75,0.8,1.242e+00,9.610e-04,-9.610e-04,9.381e-02,-9.381e-02,8.494e-02,-8.494e-02
0.825,0.8,0.85,1.077e+00,9.079e-04,-9.079e-04,8.111e-02,-8.111e-02,7.378e-02,-7.378e-02
0.875,0.85,0.9,9.284e-01,8.513e-04,-8.513e-04,7.004e-02,-7.004e-02,6.407e-02,-6.407e-02
0.925,0.9,0.95,8.088e-01,8.036e-04,-8.036e-04,6.077e-02,-6.077e-02,5.591e-02,-5.591e-02
0.975,0.95,1.0,6.976e-01,7.446e-04,-7.446e-04,5.353e-02,-5.353e-02,4.856e-02,-4.856e-02
