#: table_doi: 10.17182/hepdata.91996.v2/t12
#: name: Table 12
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 40-50% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.10e-01,2.23e-04,-2.23e-04,2.68e-02,-2.68e-02,2.48e-02,-2.48e-02
2.8125,2.5,3.125,5.20e-01,1.40e-04,-1.40e-04,2.14e-02,-2.14e-02,1.91e-02,-1.91e-02
3.4375,3.125,3.75,5.32e-01,1.09e-04,-1.09e-04,1.99e-02,-1.99e-02,1.77e-02,-1.77e-02
4.0625,3.75,4.375,5.45e-01,9.64e-05,-9.64e-05,1.93e-02,-1.93e-02,1.69e-02,-1.69e-02
4.6875,4.375,5.0,5.57e-01,9.10e-05,-9.10e-05,1.90e-02,-1.90e-02,1.66e-02,-1.66e-02
5.3125,5.0,5.625,5.69e-01,8.80e-05,-8.80e-05,1.93e-02,-1.93e-02,1.68e-02,-1.68e-02
5.9375,5.625,6.25,5.81e-01,8.60e-05,-8.60e-05,1.91e-02,-1.91e-02,1.63e-02,-1.63e-02
6.5625,6.25,6.875,5.91e-01,8.48e-05,-8.48e-05,1.91e-02,-1.91e-02,1.60e-02,-1.60e-02
7.1875,6.875,7.5,6.01e-01,8.42e-05,-8.42e-05,1.93e-02,-1.93e-02,1.58e-02,-1.58e-02
7.8125,7.5,8.125,6.10e-01,8.38e-05,-8.38e-05,1.90e-02,-1.90e-02,1.53e-02,-1.53e-02
8.4375,8.125,8.75,6.18e-01,8.38e-05,-8.38e-05,1.95e-02,-1.95e-02,1.54e-02,-1.54e-02
9.0625,8.75,9.375,6.26e-01,8.08e-05,-8.08e-05,1.98e-02,-1.98e-02,1.57e-02,-1.57e-02
9.6875,9.375,10.0,6.33e-01,8.18e-05,-8.18e-05,1.90e-02,-1.90e-02,1.44e-02,-1.44e-02
10.3125,10.0,10.625,6.40e-01,8.27e-05,-8.27e-05,1.84e-02,-1.84e-02,1.35e-02,-1.35e-02
10.9375,10.625,11.25,6.47e-01,8.32e-05,-8.32e-05,1.86e-02,-1.86e-02,1.30e-02,-1.30e-02
11.5625,11.25,11.875,6.53e-01,8.43e-05,-8.43e-05,1.89e-02,-1.89e-02,1.35e-02,-1.35e-02
12.1875,11.875,12.5,6.59e-01,8.55e-05,-8.55e-05,1.89e-02,-1.89e-02,1.34e-02,-1.34e-02
12.8125,12.5,13.125,6.65e-01,8.67e-05,-8.67e-05,1.87e-02,-1.87e-02,1.27e-02,-1.27e-02
13.4375,13.125,13.75,6.70e-01,8.81e-05,-8.81e-05,2.00e-02,-2.00e-02,1.43e-02,-1.43e-02
14.0625,13.75,14.375,6.75e-01,8.98e-05,-8.98e-05,1.93e-02,-1.93e-02,1.32e-02,-1.32e-02
14.6875,14.375,15.0,6.80e-01,9.13e-05,-9.13e-05,1.93e-02,-1.93e-02,1.32e-02,-1.32e-02
