#: table_doi: 10.17182/hepdata.91996.v2/t18
#: name: Table 18
#: description: Spherocity intervals used in this analysis.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (0-10% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,0-10%
2.1875,1.875,2.5,0 - 0.058
2.8125,2.5,3.125,0 - 0.074
3.4375,3.125,3.75,0 - 0.098
4.0625,3.75,4.375,0 - 0.122
4.6875,4.375,5.0,0 - 0.148
5.3125,5.0,5.625,0 - 0.173
5.9375,5.625,6.25,0 - 0.195
6.5625,6.25,6.875,0 - 0.213
7.1875,6.875,7.5,0 - 0.232
7.8125,7.5,8.125,0 - 0.246
8.4375,8.125,8.75,0 - 0.263
9.0625,8.75,9.375,0 - 0.276
9.6875,9.375,10.0,0 - 0.288
10.3125,10.0,10.625,0 - 0.299
10.9375,10.625,11.25,0 - 0.310
11.5625,11.25,11.875,0 - 0.321
12.1875,11.875,12.5,0 - 0.330
12.8125,12.5,13.125,0 - 0.340
13.4375,13.125,13.75,0 - 0.347
14.0625,13.75,14.375,0 - 0.355
14.6875,14.375,15.0,0 - 0.362
15.3125,15.0,15.625,0 - 0.370
15.9375,15.625,16.25,0 - 0.378
16.5625,16.25,16.875,0 - 0.384
17.1875,16.875,17.5,0 - 0.390
17.8125,17.5,18.125,0 - 0.396
18.4375,18.125,18.75,0 - 0.402
19.0625,18.75,19.375,0 - 0.407
19.6875,19.375,20.0,0 - 0.414
20.3125,20.0,20.625,0 - 0.418
20.9375,20.625,21.25,0 - 0.421
21.5625,21.25,21.875,0 - 0.427
22.1875,21.875,22.5,0 - 0.431
22.8125,22.5,23.125,0 - 0.434
23.4375,23.125,23.75,0 - 0.441
24.0625,23.75,24.375,0 - 0.444
24.6875,24.375,25.0,0 - 0.448
25.3125,25.0,25.625,0 - 0.450
25.9375,25.625,26.25,0 - 0.454
26.5625,26.25,26.875,0 - 0.457
27.1875,26.875,27.5,0 - 0.461
27.8125,27.5,28.125,0 - 0.464
28.4375,28.125,28.75,0 - 0.467
29.0625,28.75,29.375,0 - 0.470
29.6875,29.375,30.0,0 - 0.473
30.3125,30.0,30.625,0 - 0.476
30.9375,30.625,31.25,0 - 0.479
31.5625,31.25,31.875,0 - 0.482
32.1875,31.875,32.5,0 - 0.484
32.8125,32.5,33.125,0 - 0.487
33.4375,33.125,33.75,0 - 0.489
34.0625,33.75,34.375,0 - 0.492
34.6875,34.375,35.0,0 - 0.494
35.3125,35.0,35.625,0 - 0.496
35.9375,35.625,36.25,0 - 0.498
36.5625,36.25,36.875,0 - 0.501
37.1875,36.875,37.5,0 - 0.502
37.8125,37.5,38.125,0 - 0.504
38.4375,38.125,38.75,0 - 0.506
39.0625,38.75,39.375,0 - 0.508
39.6875,39.375,40.0,0 - 0.509
40.3125,40.0,40.625,0 - 0.511
40.9375,40.625,41.25,0 - 0.512
41.5625,41.25,41.875,0 - 0.513
42.1875,41.875,42.5,0 - 0.515
42.8125,42.5,43.125,0 - 0.516
43.4375,43.125,43.75,0 - 0.517
44.0625,43.75,44.375,0 - 0.518
44.6875,44.375,45.0,0 - 0.519
45.3125,45.0,45.625,0 - 0.519
45.9375,45.625,46.25,0 - 0.520
46.5625,46.25,46.875,0 - 0.521
47.1875,46.875,47.5,0 - 0.521
47.8125,47.5,48.125,0 - 0.522
48.4375,48.125,48.75,0 - 0.522
49.0625,48.75,49.375,0 - 0.522
49.6875,49.375,50.0,0 - 0.522

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (10-20% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,10_20%
2.1875,1.875,2.5,0.058 - 0.107
2.8125,2.5,3.125,0.074 - 0.132
3.4375,3.125,3.75,0.098 - 0.162
4.0625,3.75,4.375,0.122 - 0.192
4.6875,4.375,5.0,0.148 - 0.222
5.3125,5.0,5.625,0.173 - 0.247
5.9375,5.625,6.25,0.195 - 0.271
6.5625,6.25,6.875,0.213 - 0.291
7.1875,6.875,7.5,0.232 - 0.310
7.8125,7.5,8.125,0.246 - 0.327
8.4375,8.125,8.75,0.263 - 0.343
9.0625,8.75,9.375,0.276 - 0.355
9.6875,9.375,10.0,0.288 - 0.367
10.3125,10.0,10.625,0.299 - 0.381
10.9375,10.625,11.25,0.310 - 0.391
11.5625,11.25,11.875,0.321 - 0.402
12.1875,11.875,12.5,0.330 - 0.411
12.8125,12.5,13.125,0.340 - 0.419
13.4375,13.125,13.75,0.347 - 0.427
14.0625,13.75,14.375,0.355 - 0.435
14.6875,14.375,15.0,0.362 - 0.444
15.3125,15.0,15.625,0.370 - 0.450
15.9375,15.625,16.25,0.378 - 0.458
16.5625,16.25,16.875,0.384 - 0.463
17.1875,16.875,17.5,0.390 - 0.470
17.8125,17.5,18.125,0.396 - 0.476
18.4375,18.125,18.75,0.402 - 0.480
19.0625,18.75,19.375,0.407 - 0.485
19.6875,19.375,20.0,0.414 - 0.490
20.3125,20.0,20.625,0.418 - 0.495
20.9375,20.625,21.25,0.421 - 0.500
21.5625,21.25,21.875,0.427 - 0.504
22.1875,21.875,22.5,0.431 - 0.507
22.8125,22.5,23.125,0.434 - 0.512
23.4375,23.125,23.75,0.441 - 0.517
24.0625,23.75,24.375,0.444 - 0.520
24.6875,24.375,25.0,0.448 - 0.523
25.3125,25.0,25.625,0.450 - 0.527
25.9375,25.625,26.25,0.454 - 0.530
26.5625,26.25,26.875,0.457 - 0.534
27.1875,26.875,27.5,0.461 - 0.537
27.8125,27.5,28.125,0.464 - 0.540
28.4375,28.125,28.75,0.467 - 0.543
29.0625,28.75,29.375,0.470 - 0.545
29.6875,29.375,30.0,0.473 - 0.548
30.3125,30.0,30.625,0.476 - 0.551
30.9375,30.625,31.25,0.479 - 0.553
31.5625,31.25,31.875,0.482 - 0.556
32.1875,31.875,32.5,0.484 - 0.558
32.8125,32.5,33.125,0.487 - 0.561
33.4375,33.125,33.75,0.489 - 0.563
34.0625,33.75,34.375,0.492 - 0.565
34.6875,34.375,35.0,0.494 - 0.567
35.3125,35.0,35.625,0.496 - 0.570
35.9375,35.625,36.25,0.498 - 0.572
36.5625,36.25,36.875,0.501 - 0.573
37.1875,36.875,37.5,0.502 - 0.575
37.8125,37.5,38.125,0.504 - 0.577
38.4375,38.125,38.75,0.506 - 0.579
39.0625,38.75,39.375,0.508 - 0.580
39.6875,39.375,40.0,0.509 - 0.582
40.3125,40.0,40.625,0.511 - 0.583
40.9375,40.625,41.25,0.512 - 0.585
41.5625,41.25,41.875,0.513 - 0.586
42.1875,41.875,42.5,0.515 - 0.587
42.8125,42.5,43.125,0.516 - 0.588
43.4375,43.125,43.75,0.517 - 0.589
44.0625,43.75,44.375,0.518 - 0.590
44.6875,44.375,45.0,0.519 - 0.591
45.3125,45.0,45.625,0.519 - 0.592
45.9375,45.625,46.25,0.520 - 0.592
46.5625,46.25,46.875,0.521 - 0.593
47.1875,46.875,47.5,0.521 - 0.594
47.8125,47.5,48.125,0.522 - 0.594
48.4375,48.125,48.75,0.522 - 0.595
49.0625,48.75,49.375,0.522 - 0.595
49.6875,49.375,50.0,0.522 - 0.595

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (20-30% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,20-30%
2.1875,1.875,2.5,0.107 - 0.157
2.8125,2.5,3.125,0.132 - 0.185
3.4375,3.125,3.75,0.162 - 0.220
4.0625,3.75,4.375,0.192 - 0.253
4.6875,4.375,5.0,0.222 - 0.284
5.3125,5.0,5.625,0.247 - 0.310
5.9375,5.625,6.25,0.271 - 0.334
6.5625,6.25,6.875,0.291 - 0.354
7.1875,6.875,7.5,0.310 - 0.373
7.8125,7.5,8.125,0.327 - 0.390
8.4375,8.125,8.75,0.343 - 0.405
9.0625,8.75,9.375,0.355 - 0.418
9.6875,9.375,10.0,0.367 - 0.429
10.3125,10.0,10.625,0.381 - 0.442
10.9375,10.625,11.25,0.391 - 0.452
11.5625,11.25,11.875,0.402 - 0.463
12.1875,11.875,12.5,0.411 - 0.471
12.8125,12.5,13.125,0.419 - 0.480
13.4375,13.125,13.75,0.427 - 0.487
14.0625,13.75,14.375,0.435 - 0.495
14.6875,14.375,15.0,0.444 - 0.501
15.3125,15.0,15.625,0.450 - 0.508
15.9375,15.625,16.25,0.458 - 0.515
16.5625,16.25,16.875,0.463 - 0.520
17.1875,16.875,17.5,0.470 - 0.527
17.8125,17.5,18.125,0.476 - 0.531
18.4375,18.125,18.75,0.480 - 0.537
19.0625,18.75,19.375,0.485 - 0.542
19.6875,19.375,20.0,0.490 - 0.547
20.3125,20.0,20.625,0.495 - 0.551
20.9375,20.625,21.25,0.500 - 0.555
21.5625,21.25,21.875,0.504 - 0.559
22.1875,21.875,22.5,0.507 - 0.564
22.8125,22.5,23.125,0.512 - 0.568
23.4375,23.125,23.75,0.517 - 0.572
24.0625,23.75,24.375,0.520 - 0.575
24.6875,24.375,25.0,0.523 - 0.577
25.3125,25.0,25.625,0.527 - 0.582
25.9375,25.625,26.25,0.530 - 0.585
26.5625,26.25,26.875,0.534 - 0.588
27.1875,26.875,27.5,0.537 - 0.590
27.8125,27.5,28.125,0.540 - 0.593
28.4375,28.125,28.75,0.543 - 0.596
29.0625,28.75,29.375,0.545 - 0.598
29.6875,29.375,30.0,0.548 - 0.601
30.3125,30.0,30.625,0.551 - 0.603
30.9375,30.625,31.25,0.553 - 0.605
31.5625,31.25,31.875,0.556 - 0.608
32.1875,31.875,32.5,0.558 - 0.610
32.8125,32.5,33.125,0.561 - 0.612
33.4375,33.125,33.75,0.563 - 0.614
34.0625,33.75,34.375,0.565 - 0.616
34.6875,34.375,35.0,0.567 - 0.618
35.3125,35.0,35.625,0.570 - 0.620
35.9375,35.625,36.25,0.572 - 0.622
36.5625,36.25,36.875,0.573 - 0.624
37.1875,36.875,37.5,0.575 - 0.626
37.8125,37.5,38.125,0.577 - 0.627
38.4375,38.125,38.75,0.579 - 0.629
39.0625,38.75,39.375,0.580 - 0.631
39.6875,39.375,40.0,0.582 - 0.632
40.3125,40.0,40.625,0.583 - 0.634
40.9375,40.625,41.25,0.585 - 0.635
41.5625,41.25,41.875,0.586 - 0.636
42.1875,41.875,42.5,0.587 - 0.638
42.8125,42.5,43.125,0.588 - 0.639
43.4375,43.125,43.75,0.589 - 0.640
44.0625,43.75,44.375,0.590 - 0.641
44.6875,44.375,45.0,0.591 - 0.642
45.3125,45.0,45.625,0.592 - 0.643
45.9375,45.625,46.25,0.592 - 0.644
46.5625,46.25,46.875,0.593 - 0.645
47.1875,46.875,47.5,0.594 - 0.646
47.8125,47.5,48.125,0.594 - 0.646
48.4375,48.125,48.75,0.595 - 0.647
49.0625,48.75,49.375,0.595 - 0.648
49.6875,49.375,50.0,0.595 - 0.648

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (30-40% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,30-40%
2.1875,1.875,2.5,0.157 - 0.208
2.8125,2.5,3.125,0.185 - 0.240
3.4375,3.125,3.75,0.220 - 0.276
4.0625,3.75,4.375,0.253 - 0.309
4.6875,4.375,5.0,0.284 - 0.341
5.3125,5.0,5.625,0.310 - 0.367
5.9375,5.625,6.25,0.334 - 0.392
6.5625,6.25,6.875,0.354 - 0.412
7.1875,6.875,7.5,0.373 - 0.429
7.8125,7.5,8.125,0.390 - 0.445
8.4375,8.125,8.75,0.405 - 0.461
9.0625,8.75,9.375,0.418 - 0.473
9.6875,9.375,10.0,0.429 - 0.484
10.3125,10.0,10.625,0.442 - 0.495
10.9375,10.625,11.25,0.452 - 0.505
11.5625,11.25,11.875,0.463 - 0.515
12.1875,11.875,12.5,0.471 - 0.523
12.8125,12.5,13.125,0.480 - 0.531
13.4375,13.125,13.75,0.487 - 0.538
14.0625,13.75,14.375,0.495 - 0.546
14.6875,14.375,15.0,0.501 - 0.552
15.3125,15.0,15.625,0.508 - 0.559
15.9375,15.625,16.25,0.515 - 0.565
16.5625,16.25,16.875,0.520 - 0.571
17.1875,16.875,17.5,0.527 - 0.576
17.8125,17.5,18.125,0.531 - 0.580
18.4375,18.125,18.75,0.537 - 0.586
19.0625,18.75,19.375,0.542 - 0.590
19.6875,19.375,20.0,0.547 - 0.594
20.3125,20.0,20.625,0.551 - 0.599
20.9375,20.625,21.25,0.555 - 0.602
21.5625,21.25,21.875,0.559 - 0.606
22.1875,21.875,22.5,0.564 - 0.610
22.8125,22.5,23.125,0.568 - 0.613
23.4375,23.125,23.75,0.572 - 0.617
24.0625,23.75,24.375,0.575 - 0.620
24.6875,24.375,25.0,0.577 - 0.622
25.3125,25.0,25.625,0.582 - 0.627
25.9375,25.625,26.25,0.585 - 0.630
26.5625,26.25,26.875,0.588 - 0.632
27.1875,26.875,27.5,0.590 - 0.635
27.8125,27.5,28.125,0.593 - 0.637
28.4375,28.125,28.75,0.596 - 0.640
29.0625,28.75,29.375,0.598 - 0.642
29.6875,29.375,30.0,0.601 - 0.645
30.3125,30.0,30.625,0.603 - 0.647
30.9375,30.625,31.25,0.605 - 0.649
31.5625,31.25,31.875,0.608 - 0.651
32.1875,31.875,32.5,0.610 - 0.653
32.8125,32.5,33.125,0.612 - 0.655
33.4375,33.125,33.75,0.614 - 0.657
34.0625,33.75,34.375,0.616 - 0.659
34.6875,34.375,35.0,0.618 - 0.661
35.3125,35.0,35.625,0.620 - 0.663
35.9375,35.625,36.25,0.622 - 0.665
36.5625,36.25,36.875,0.624 - 0.666
37.1875,36.875,37.5,0.626 - 0.668
37.8125,37.5,38.125,0.627 - 0.670
38.4375,38.125,38.75,0.629 - 0.671
39.0625,38.75,39.375,0.631 - 0.673
39.6875,39.375,40.0,0.632 - 0.674
40.3125,40.0,40.625,0.634 - 0.675
40.9375,40.625,41.25,0.635 - 0.677
41.5625,41.25,41.875,0.636 - 0.678
42.1875,41.875,42.5,0.638 - 0.679
42.8125,42.5,43.125,0.639 - 0.680
43.4375,43.125,43.75,0.640 - 0.681
44.0625,43.75,44.375,0.641 - 0.682
44.6875,44.375,45.0,0.642 - 0.683
45.3125,45.0,45.625,0.643 - 0.684
45.9375,45.625,46.25,0.644 - 0.685
46.5625,46.25,46.875,0.645 - 0.686
47.1875,46.875,47.5,0.646 - 0.687
47.8125,47.5,48.125,0.646 - 0.687
48.4375,48.125,48.75,0.647 - 0.688
49.0625,48.75,49.375,0.648 - 0.689
49.6875,49.375,50.0,0.648 - 0.689

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (40-50% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,40-50%
2.1875,1.875,2.5,0.208 - 0.263
2.8125,2.5,3.125,0.240 - 0.295
3.4375,3.125,3.75,0.276 - 0.333
4.0625,3.75,4.375,0.309 - 0.366
4.6875,4.375,5.0,0.341 - 0.398
5.3125,5.0,5.625,0.367 - 0.423
5.9375,5.625,6.25,0.392 - 0.447
6.5625,6.25,6.875,0.412 - 0.466
7.1875,6.875,7.5,0.429 - 0.483
7.8125,7.5,8.125,0.445 - 0.498
8.4375,8.125,8.75,0.461 - 0.512
9.0625,8.75,9.375,0.473 - 0.524
9.6875,9.375,10.0,0.484 - 0.535
10.3125,10.0,10.625,0.495 - 0.545
10.9375,10.625,11.25,0.505 - 0.555
11.5625,11.25,11.875,0.515 - 0.565
12.1875,11.875,12.5,0.523 - 0.572
12.8125,12.5,13.125,0.531 - 0.579
13.4375,13.125,13.75,0.538 - 0.586
14.0625,13.75,14.375,0.546 - 0.593
14.6875,14.375,15.0,0.552 - 0.598
15.3125,15.0,15.625,0.559 - 0.605
15.9375,15.625,16.25,0.565 - 0.610
16.5625,16.25,16.875,0.571 - 0.615
17.1875,16.875,17.5,0.576 - 0.620
17.8125,17.5,18.125,0.580 - 0.625
18.4375,18.125,18.75,0.586 - 0.630
19.0625,18.75,19.375,0.590 - 0.633
19.6875,19.375,20.0,0.594 - 0.637
20.3125,20.0,20.625,0.599 - 0.642
20.9375,20.625,21.25,0.602 - 0.645
21.5625,21.25,21.875,0.606 - 0.649
22.1875,21.875,22.5,0.610 - 0.653
22.8125,22.5,23.125,0.613 - 0.656
23.4375,23.125,23.75,0.617 - 0.659
24.0625,23.75,24.375,0.620 - 0.662
24.6875,24.375,25.0,0.622 - 0.664
25.3125,25.0,25.625,0.627 - 0.668
25.9375,25.625,26.25,0.630 - 0.671
26.5625,26.25,26.875,0.632 - 0.673
27.1875,26.875,27.5,0.635 - 0.675
27.8125,27.5,28.125,0.637 - 0.678
28.4375,28.125,28.75,0.640 - 0.680
29.0625,28.75,29.375,0.642 - 0.682
29.6875,29.375,30.0,0.645 - 0.684
30.3125,30.0,30.625,0.647 - 0.686
30.9375,30.625,31.25,0.649 - 0.688
31.5625,31.25,31.875,0.651 - 0.690
32.1875,31.875,32.5,0.653 - 0.692
32.8125,32.5,33.125,0.655 - 0.694
33.4375,33.125,33.75,0.657 - 0.696
34.0625,33.75,34.375,0.659 - 0.698
34.6875,34.375,35.0,0.661 - 0.700
35.3125,35.0,35.625,0.663 - 0.701
35.9375,35.625,36.25,0.665 - 0.703
