#: table_doi: 10.17182/hepdata.91996.v2/t2
#: name: Table 2
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,3.762e+00,1.453e-03,-1.453e-03,2.768e-01,-2.768e-01,2.487e-01,-2.487e-01
0.225,0.2,0.25,3.946e+00,1.070e-03,-1.070e-03,2.836e-01,-2.836e-01,2.608e-01,-2.608e-01
0.275,0.25,0.3,3.793e+00,1.019e-03,-1.019e-03,2.713e-01,-2.713e-01,2.496e-01,-2.496e-01
0.32499999999999996,0.3,0.35,3.526e+00,9.687e-04,-9.687e-04,2.568e-01,-2.568e-01,2.318e-01,-2.318e-01
0.375,0.35,0.4,3.154e+00,9.024e-04,-9.024e-04,2.303e-01,-2.303e-01,2.063e-01,-2.063e-01
0.42500000000000004,0.4,0.45,2.768e+00,8.404e-04,-8.404e-04,2.049e-01,-2.049e-01,1.810e-01,-1.810e-01
0.475,0.45,0.5,2.386e+00,7.915e-04,-7.915e-04,1.765e-01,-1.765e-01,1.547e-01,-1.547e-01
0.525,0.5,0.55,2.048e+00,7.552e-04,-7.552e-04,1.530e-01,-1.530e-01,1.328e-01,-1.328e-01
0.575,0.55,0.6,1.747e+00,7.101e-04,-7.101e-04,1.308e-01,-1.308e-01,1.125e-01,-1.125e-01
0.625,0.6,0.65,1.489e+00,6.704e-04,-6.704e-04,1.116e-01,-1.116e-01,9.593e-02,-9.593e-02
0.675,0.65,0.7,1.264e+00,6.317e-04,-6.317e-04,9.296e-02,-9.296e-02,8.127e-02,-8.127e-02
0.725,0.7,0.75,1.079e+00,5.938e-04,-5.938e-04,7.807e-02,-7.807e-02,6.947e-02,-6.947e-02
0.775,0.75,0.8,9.153e-01,5.538e-04,-5.538e-04,6.589e-02,-6.589e-02,5.922e-02,-5.922e-02
0.825,0.8,0.85,7.834e-01,5.200e-04,-5.200e-04,5.629e-02,-5.629e-02,5.078e-02,-5.078e-02
0.875,0.85,0.9,6.681e-01,4.852e-04,-4.852e-04,4.817e-02,-4.817e-02,4.383e-02,-4.383e-02
0.925,0.9,0.95,5.755e-01,4.560e-04,-4.560e-04,4.137e-02,-4.137e-02,3.781e-02,-3.781e-02
0.975,0.95,1.0,4.922e-01,4.212e-04,-4.212e-04,3.639e-02,-3.639e-02,3.276e-02,-3.276e-02
1.05,1.0,1.1,3.970e-01,2.658e-04,-2.658e-04,3.180e-02,-3.180e-02,2.851e-02,-2.851e-02
