#: table_doi: 10.17182/hepdata.91996.v2/t3
#: name: Table 3
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,4.446e+00,3.247e-03,-3.247e-03,3.116e-01,-3.116e-01,2.916e-01,-2.916e-01
0.225,0.2,0.25,4.604e+00,2.351e-03,-2.351e-03,3.102e-01,-3.102e-01,3.023e-01,-3.023e-01
0.275,0.25,0.3,4.423e+00,2.225e-03,-2.225e-03,2.977e-01,-2.977e-01,2.905e-01,-2.905e-01
0.32499999999999996,0.3,0.35,4.076e+00,2.103e-03,-2.103e-03,2.807e-01,-2.807e-01,2.680e-01,-2.680e-01
0.375,0.35,0.4,3.611e+00,1.947e-03,-1.947e-03,2.513e-01,-2.513e-01,2.369e-01,-2.369e-01
0.42500000000000004,0.4,0.45,3.150e+00,1.806e-03,-1.806e-03,2.229e-01,-2.229e-01,2.068e-01,-2.068e-01
0.475,0.45,0.5,2.699e+00,1.695e-03,-1.695e-03,1.925e-01,-1.925e-01,1.770e-01,-1.770e-01
0.525,0.5,0.55,2.307e+00,1.613e-03,-1.613e-03,1.667e-01,-1.667e-01,1.514e-01,-1.514e-01
0.575,0.55,0.6,1.954e+00,1.508e-03,-1.508e-03,1.431e-01,-1.431e-01,1.285e-01,-1.285e-01
0.625,0.6,0.65,1.661e+00,1.420e-03,-1.420e-03,1.220e-01,-1.220e-01,1.093e-01,-1.093e-01
0.675,0.65,0.7,1.402e+00,1.330e-03,-1.330e-03,1.019e-01,-1.019e-01,9.312e-02,-9.312e-02
0.725,0.7,0.75,1.201e+00,1.251e-03,-1.251e-03,8.602e-02,-8.602e-02,7.982e-02,-7.982e-02
0.775,0.75,0.8,1.013e+00,1.161e-03,-1.161e-03,7.313e-02,-7.313e-02,6.840e-02,-6.840e-02
0.825,0.8,0.85,8.668e-01,1.089e-03,-1.089e-03,6.242e-02,-6.242e-02,5.857e-02,-5.857e-02
0.875,0.85,0.9,7.371e-01,1.014e-03,-1.014e-03,5.351e-02,-5.351e-02,5.068e-02,-5.068e-02
0.925,0.9,0.95,6.336e-01,9.504e-04,-9.504e-04,4.587e-02,-4.587e-02,4.363e-02,-4.363e-02
0.975,0.95,1.0,5.395e-01,8.743e-04,-8.743e-04,4.015e-02,-4.015e-02,3.768e-02,-3.768e-02
1.05,1.0,1.1,4.340e-01,5.506e-04,-5.506e-04,3.273e-02,-3.273e-02,3.041e-02,-3.041e-02
1.15,1.1,1.2,3.253e-01,4.678e-04,-4.678e-04,2.475e-02,-2.475e-02,2.283e-02,-2.283e-02
1.25,1.2,1.3,2.459e-01,4.007e-04,-4.007e-04,1.863e-02,-1.863e-02,1.741e-02,-1.741e-02
1.35,1.3,1.4,1.949e-01,3.583e-04,-3.583e-04,1.477e-02,-1.477e-02,1.380e-02,-1.380e-02
1.45,1.4,1.5,1.463e-01,3.036e-04,-3.036e-04,1.112e-02,-1.112e-02,1.037e-02,-1.037e-02
1.55,1.5,1.6,1.173e-01,2.728e-04,-2.728e-04,8.912e-03,-8.912e-03,8.307e-03,-8.307e-03
1.65,1.6,1.7,9.130e-02,2.371e-04,-2.371e-04,6.995e-03,-6.995e-03,6.537e-03,-6.537e-03
1.75,1.7,1.8,7.444e-02,2.147e-04,-2.147e-04,5.703e-03,-5.703e-03,5.329e-03,-5.329e-03
1.85,1.8,1.9,5.889e-02,1.887e-04,-1.887e-04,4.678e-03,-4.678e-03,4.372e-03,-4.372e-03
1.95,1.9,2.0,4.829e-02,1.712e-04,-1.712e-04,3.836e-03,-3.836e-03,3.585e-03,-3.585e-03
2.1,2.0,2.2,3.551e-02,1.028e-04,-1.028e-04,2.793e-03,-2.793e-03,2.625e-03,-2.625e-03
2.3,2.2,2.4,2.434e-02,8.473e-05,-8.473e-05,1.926e-03,-1.926e-03,1.800e-03,-1.800e-03
2.5,2.4,2.6,1.687e-02,7.014e-05,-7.014e-05,1.329e-03,-1.329e-03,1.242e-03,-1.242e-03
2.7,2.6,2.8,1.197e-02,5.874e-05,-5.874e-05,9.485e-04,-9.485e-04,8.814e-04,-8.814e-04
2.9,2.8,3.0,8.619e-03,4.965e-05,-4.965e-05,6.819e-04,-6.819e-04,6.346e-04,-6.346e-04
3.1,3.0,3.2,6.230e-03,4.200e-05,-4.200e-05,4.937e-04,-4.937e-04,4.580e-04,-4.580e-04
3.3,3.2,3.4,4.691e-03,3.618e-05,-3.618e-05,3.719e-04,-3.719e-04,3.449e-04,-3.449e-04
3.5,3.4,3.6,3.530e-03,3.146e-05,-3.146e-05,2.799e-04,-2.799e-04,2.595e-04,-2.595e-04
3.7,3.6,3.8,2.622e-03,2.684e-05,-2.684e-05,2.064e-04,-2.064e-04,1.926e-04,-1.926e-04
3.9,3.8,4.0,2.033e-03,2.361e-05,-2.361e-05,1.600e-04,-1.600e-04,1.493e-04,-1.493e-04
4.25,4.0,4.5,1.361e-03,1.209e-05,-1.209e-05,1.076e-04,-1.076e-04,1.001e-04,-1.001e-04
4.75,4.5,5.0,7.548e-04,8.982e-06,-8.982e-06,5.968e-05,-5.968e-05,5.555e-05,-5.555e-05
5.25,5.0,5.5,4.496e-04,6.840e-06,-6.840e-06,3.537e-05,-3.537e-05,3.308e-05,-3.308e-05
5.75,5.5,6.0,2.824e-04,5.421e-06,-5.421e-06,2.221e-05,-2.221e-05,2.078e-05,-2.078e-05
6.25,6.0,6.5,1.812e-04,4.244e-06,-4.244e-06,1.424e-05,-1.424e-05,1.339e-05,-1.339e-05
6.75,6.5,7.0,1.130e-04,3.352e-06,-3.352e-06,8.882e-06,-8.882e-06,8.352e-06,-8.352e-06
7.5,7.0,8.0,7.048e-05,1.872e-06,-1.872e-06,5.539e-06,-5.539e-06,5.208e-06,-5.208e-06
9.0,8.0,10.0,2.802e-05,8.221e-07,-8.221e-07,2.252e-06,-2.252e-06,2.123e-06,-2.123e-06
11.5,10.0,13.0,7.988e-06,3.544e-07,-3.544e-07,6.562e-07,-6.562e-07,6.149e-07,-6.149e-07
16.5,13.0,20.0,1.491e-06,1.001e-07,-1.001e-07,1.299e-07,-1.299e-07,1.171e-07,-1.171e-07

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (IX')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,8.091e+00,5.746e-03,-5.746e-03,2.353e-01,-2.353e-01,1.618e-01,-1.618e-01
0.225,0.2,0.25,8.195e+00,4.113e-03,-4.113e-03,1.975e-01,-1.975e-01,1.639e-01,-1.639e-01
0.275,0.25,0.3,7.791e+00,3.883e-03,-3.883e-03,1.881e-01,-1.881e-01,1.558e-01,-1.558e-01
0.32499999999999996,0.3,0.35,7.162e+00,3.666e-03,-3.666e-03,2.021e-01,-2.021e-01,1.432e-01,-1.432e-01
0.375,0.35,0.4,6.407e+00,3.418e-03,-3.418e-03,1.937e-01,-1.937e-01,1.281e-01,-1.281e-01
0.42500000000000004,0.4,0.45,5.646e+00,3.188e-03,-3.188e-03,1.869e-01,-1.869e-01,1.129e-01,-1.129e-01
0.475,0.45,0.5,4.945e+00,3.033e-03,-3.033e-03,1.702e-01,-1.702e-01,9.889e-02,-9.889e-02
0.525,0.5,0.55,4.304e+00,2.912e-03,-2.912e-03,1.562e-01,-1.562e-01,8.607e-02,-8.607e-02
0.575,0.55,0.6,3.757e+00,2.774e-03,-2.774e-03,1.428e-01,-1.428e-01,7.513e-02,-7.513e-02
0.625,0.6,0.65,3.265e+00,2.641e-03,-2.641e-03,1.250e-01,-1.250e-01,6.530e-02,-6.530e-02
0.675,0.65,0.7,2.854e+00,2.528e-03,-2.528e-03,1.025e-01,-1.025e-01,5.708e-02,-5.708e-02
0.725,0.7,0.75,2.499e+00,2.404e-03,-2.404e-03,8.373e-02,-8.373e-02,4.998e-02,-4.998e-02
0.775,0.75,0.8,2.188e+00,2.282e-03,-2.282e-03,7.195e-02,-7.195e-02,4.376e-02,-4.376e-02
0.825,0.8,0.85,1.919e+00,2.168e-03,-2.168e-03,6.162e-02,-6.162e-02,3.891e-02,-3.891e-02
0.875,0.85,0.9,1.690e+00,2.062e-03,-2.062e-03,5.371e-02,-5.371e-02,3.474e-02,-3.474e-02
0.925,0.9,0.95,1.486e+00,1.956e-03,-1.956e-03,4.653e-02,-4.653e-02,3.116e-02,-3.116e-02
0.975,0.95,1.0,1.309e+00,1.838e-03,-1.838e-03,4.498e-02,-4.498e-02,2.797e-02,-2.797e-02
1.05,1.0,1.1,1.092e+00,1.179e-03,-1.179e-03,3.999e-02,-3.999e-02,2.410e-02,-2.410e-02
1.15,1.1,1.2,8.614e-01,1.034e-03,-1.034e-03,3.248e-02,-3.248e-02,1.993e-02,-1.993e-02
1.25,1.2,1.3,6.769e-01,9.030e-04,-9.030e-04,2.509e-02,-2.509e-02,1.693e-02,-1.693e-02
1.35,1.3,1.4,5.516e-01,8.185e-04,-8.185e-04,2.045e-02,-2.045e-02,1.380e-02,-1.380e-02
1.45,1.4,1.5,4.339e-01,7.132e-04,-7.132e-04,1.702e-02,-1.702e-02,1.211e-02,-1.211e-02
1.55,1.5,1.6,3.573e-01,6.496e-04,-6.496e-04,1.401e-02,-1.401e-02,9.971e-03,-9.971e-03
1.65,1.6,1.7,2.875e-01,5.753e-04,-5.753e-04,1.201e-02,-1.201e-02,9.040e-03,-9.040e-03
1.75,1.7,1.8,2.383e-01,5.253e-04,-5.253e-04,9.950e-03,-9.950e-03,7.491e-03,-7.491e-03
1.85,1.8,1.9,1.938e-01,4.689e-04,-4.689e-04,9.136e-03,-9.136e-03,7.324e-03,-7.324e-03
1.95,1.9,2.0,1.607e-01,4.277e-04,-4.277e-04,7.574e-03,-7.574e-03,6.072e-03,-6.072e-03
2.1,2.0,2.2,1.221e-01,2.617e-04,-2.617e-04,5.644e-03,-5.644e-03,4.617e-03,-4.617e-03
2.3,2.2,2.4,8.542e-02,2.178e-04,-2.178e-04,4.042e-03,-4.042e-03,3.226e-03,-3.226e-03
2.5,2.4,2.6,6.106e-02,1.834e-04,-1.834e-04,2.873e-03,-2.873e-03,2.305e-03,-2.305e-03
2.7,2.6,2.8,4.433e-02,1.554e-04,-1.554e-04,2.126e-03,-2.126e-03,1.674e-03,-1.674e-03
2.9,2.8,3.0,3.263e-02,1.329e-04,-1.329e-04,1.549e-03,-1.549e-03,1.232e-03,-1.232e-03
3.1,3.0,3.2,2.435e-02,1.144e-04,-1.144e-04,1.162e-03,-1.162e-03,9.194e-04,-9.194e-04
3.3,3.2,3.4,1.810e-02,9.796e-05,-9.796e-05,8.649e-04,-8.649e-04,6.836e-04,-6.836e-04
3.5,3.4,3.6,1.411e-02,8.671e-05,-8.671e-05,6.742e-04,-6.742e-04,5.329e-04,-5.329e-04
3.7,3.6,3.8,1.075e-02,7.490e-05,-7.490e-05,5.098e-04,-5.098e-04,4.062e-04,-4.062e-04
3.9,3.8,4.0,8.384e-03,6.609e-05,-6.609e-05,3.975e-04,-3.975e-04,3.168e-04,-3.168e-04
4.25,4.0,4.5,5.558e-03,3.378e-05,-3.378e-05,2.615e-04,-2.615e-04,2.098e-04,-2.098e-04
4.75,4.5,5.0,3.288e-03,2.592e-05,-2.592e-05,1.547e-04,-1.547e-04,1.241e-04,-1.241e-04
5.25,5.0,5.5,1.953e-03,1.971e-05,-1.971e-05,9.102e-05,-9.102e-05,7.377e-05,-7.377e-05
5.75,5.5,6.0,1.264e-03,1.585e-05,-1.585e-05,5.889e-05,-5.889e-05,4.773e-05,-4.773e-05
6.25,6.0,6.5,8.024e-04,1.238e-05,-1.238e-05,3.683e-05,-3.683e-05,3.032e-05,-3.032e-05
6.75,6.5,7.0,5.588e-04,1.033e-05,-1.033e-05,2.565e-05,-2.565e-05,2.111e-05,-2.111e-05
7.5,7.0,8.0,3.292e-04,5.608e-06,-5.608e-06,1.511e-05,-1.511e-05,1.244e-05,-1.244e-05
9.0,8.0,10.0,1.365e-04,2.526e-06,-2.526e-06,6.635e-06,-6.635e-06,5.557e-06,-5.557e-06
11.5,10.0,13.0,3.867e-05,1.085e-06,-1.085e-06,1.979e-06,-1.979e-06,1.652e-06,-1.652e-06
16.5,13.0,20.0,7.546e-06,3.133e-07,-3.133e-07,3.941e-07,-3.941e-07,3.052e-07,-3.052e-07

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VIII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.082e+01,9.454e-03,-9.454e-03,3.251e-01,-3.251e-01,2.164e-01,-2.164e-01
0.225,0.2,0.25,1.085e+01,6.734e-03,-6.734e-03,2.584e-01,-2.584e-01,2.170e-01,-2.170e-01
0.275,0.25,0.3,1.027e+01,6.348e-03,-6.348e-03,2.444e-01,-2.444e-01,2.055e-01,-2.055e-01
0.32499999999999996,0.3,0.35,9.433e+00,5.988e-03,-5.988e-03,2.654e-01,-2.654e-01,1.887e-01,-1.887e-01
0.375,0.35,0.4,8.475e+00,5.596e-03,-5.596e-03,2.576e-01,-2.576e-01,1.695e-01,-1.695e-01
0.42500000000000004,0.4,0.45,7.511e+00,5.234e-03,-5.234e-03,2.471e-01,-2.471e-01,1.502e-01,-1.502e-01
0.475,0.45,0.5,6.630e+00,5.000e-03,-5.000e-03,2.276e-01,-2.276e-01,1.326e-01,-1.326e-01
0.525,0.5,0.55,5.822e+00,4.822e-03,-4.822e-03,2.115e-01,-2.115e-01,1.164e-01,-1.164e-01
0.575,0.55,0.6,5.136e+00,4.620e-03,-4.620e-03,1.954e-01,-1.954e-01,1.027e-01,-1.027e-01
0.625,0.6,0.65,4.507e+00,4.418e-03,-4.418e-03,1.722e-01,-1.722e-01,9.014e-02,-9.014e-02
0.675,0.65,0.7,3.986e+00,4.255e-03,-4.255e-03,1.430e-01,-1.430e-01,7.971e-02,-7.971e-02
0.725,0.7,0.75,3.521e+00,4.064e-03,-4.064e-03,1.241e-01,-1.241e-01,7.043e-02,-7.043e-02
0.775,0.75,0.8,3.123e+00,3.884e-03,-3.884e-03,1.071e-01,-1.071e-01,6.245e-02,-6.245e-02
0.825,0.8,0.85,2.768e+00,3.710e-03,-3.710e-03,9.353e-02,-9.353e-02,5.557e-02,-5.557e-02
0.875,0.85,0.9,2.465e+00,3.549e-03,-3.549e-03,8.175e-02,-8.175e-02,5.042e-02,-5.042e-02
0.925,0.9,0.95,2.186e+00,3.380e-03,-3.380e-03,7.205e-02,-7.205e-02,4.556e-02,-4.556e-02
0.975,0.95,1.0,1.945e+00,3.194e-03,-3.194e-03,7.041e-02,-7.041e-02,4.142e-02,-4.142e-02
1.05,1.0,1.1,1.646e+00,2.063e-03,-2.063e-03,6.226e-02,-6.226e-02,3.623e-02,-3.623e-02
1.15,1.1,1.2,1.321e+00,1.826e-03,-1.826e-03,5.169e-02,-5.169e-02,3.051e-02,-3.051e-02
1.25,1.2,1.3,1.054e+00,1.606e-03,-1.606e-03,4.073e-02,-4.073e-02,2.627e-02,-2.627e-02
