#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,4.028e+00,1.906e-03,-1.906e-03,3.371e-01,-3.371e-01,3.237e-01,-3.237e-01
0.225,0.2,0.25,4.213e+00,1.402e-03,-1.402e-03,3.470e-01,-3.470e-01,3.385e-01,-3.385e-01
0.275,0.25,0.3,4.014e+00,1.327e-03,-1.327e-03,3.301e-01,-3.301e-01,3.222e-01,-3.222e-01
0.32499999999999996,0.3,0.35,3.707e+00,1.256e-03,-1.256e-03,3.102e-01,-3.102e-01,2.978e-01,-2.978e-01
0.375,0.35,0.4,3.282e+00,1.163e-03,-1.163e-03,2.747e-01,-2.747e-01,2.614e-01,-2.614e-01
0.42500000000000004,0.4,0.45,2.859e+00,1.079e-03,-1.079e-03,2.422e-01,-2.422e-01,2.278e-01,-2.278e-01
0.475,0.45,0.5,2.438e+00,1.009e-03,-1.009e-03,2.051e-01,-2.051e-01,1.914e-01,-1.914e-01
0.525,0.5,0.55,2.080e+00,9.603e-04,-9.603e-04,1.766e-01,-1.766e-01,1.635e-01,-1.635e-01
0.575,0.55,0.6,1.753e+00,8.955e-04,-8.955e-04,1.485e-01,-1.485e-01,1.362e-01,-1.362e-01
0.625,0.6,0.65,1.485e+00,8.429e-04,-8.429e-04,1.259e-01,-1.259e-01,1.154e-01,-1.154e-01
0.675,0.65,0.7,1.246e+00,7.881e-04,-7.881e-04,1.042e-01,-1.042e-01,9.684e-02,-9.684e-02
0.725,0.7,0.75,1.057e+00,7.384e-04,-7.384e-04,8.722e-02,-8.722e-02,8.211e-02,-8.211e-02
0.775,0.75,0.8,8.859e-01,6.832e-04,-6.832e-04,7.384e-02,-7.384e-02,7.013e-02,-7.013e-02
0.825,0.8,0.85,7.545e-01,6.399e-04,-6.399e-04,6.295e-02,-6.295e-02,5.984e-02,-5.984e-02
0.875,0.85,0.9,6.351e-01,5.914e-04,-5.914e-04,5.476e-02,-5.476e-02,5.255e-02,-5.255e-02
0.925,0.9,0.95,5.445e-01,5.545e-04,-5.545e-04,4.678e-02,-4.678e-02,4.506e-02,-4.506e-02
0.975,0.95,1.0,4.594e-01,5.067e-04,-5.067e-04,4.192e-02,-4.192e-02,4.006e-02,-4.006e-02
1.05,1.0,1.1,3.669e-01,3.181e-04,-3.181e-04,3.379e-02,-3.379e-02,3.207e-02,-3.207e-02
