#: table_doi: 10.17182/hepdata.91996.v2/t6
#: name: Table 6
#: description: The spectral shape is characterized by the exponent of the power-law function which fits the high-pTpart (pT>6 GeV/c) of the invariant yields.  The power-law exponent is presented for different event classes based on the number of SPD tracklets.
#: data_file: data6.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: 
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],13
#: ETARAP,-0.8 - 0.8
#: RE,P P --> CHARGED X
Multiplicity class,Power-law exponent,stat +,stat -,sys +,sys -
X',6.15e+00,3.48e-02,-3.48e-02,1.29e-01,-1.29e-01
IX',5.99e+00,2.04e-02,-2.04e-02,8.97e-02,-8.97e-02
VIII',5.79e+00,1.80e-02,-1.80e-02,8.93e-02,-8.93e-02
VII',5.74e+00,1.99e-02,-1.99e-02,8.86e-02,-8.86e-02
VI',5.55e+00,2.36e-02,-2.36e-02,8.15e-02,-8.15e-02
V',5.46e+00,3.09e-02,-3.09e-02,8.36e-02,-8.36e-02
IV',5.37e+00,4.19e-02,-4.19e-02,8.30e-02,-8.30e-02
III',5.24e+00,6.17e-02,-6.17e-02,8.65e-02,-8.65e-02
II',5.09e+00,7.71e-02,-7.71e-02,8.22e-02,-8.22e-02
I',4.88e+00,1.67e-01,-1.67e-01,8.28e-02,-8.28e-02

