#: table_doi: 10.17182/hepdata.72491.v1/t17
#: name: Table 17
#: description: Extrapolated charged-particle multiplicity distributions in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table17.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DNEV/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,(1/NEV)*DNEV/DN(P=3),stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.2108,0.004391,-0.004399,0.0004474,-0.0004474
2.0,1.5,2.5,0.152,0.0005999,-0.0006192,8.585e-05,-8.585e-05
3.0,2.5,3.5,0.1111,0.0004063,-0.0004205,0.0002568,-0.0002568
4.0,3.5,4.5,0.08599,0.0002093,-0.00022,0.000309,-0.000309
5.0,4.5,5.5,0.06936,9.548e-05,-0.0001012,0.00033,-0.00033
6.0,5.5,6.5,0.05741,6.159e-05,-5.53e-05,0.0003657,-0.0003657
7.0,6.5,7.5,0.04802,4.177e-05,-4.716e-05,0.0003821,-0.0003821
8.0,7.5,8.5,0.04058,4.652e-05,-7.791e-05,0.00036,-0.00036
9.0,8.5,9.5,0.03443,7.918e-05,-0.000107,0.0003063,-0.0003063
10.0,9.5,10.5,0.02921,0.0001065,-0.0001414,0.0002527,-0.0002527
11.0,10.5,11.5,0.02484,0.0001394,-0.0001547,0.0002113,-0.0002113
12.0,11.5,12.5,0.02114,0.0001573,-0.0001584,0.000174,-0.000174
13.0,12.5,13.5,0.01795,0.0001639,-0.0001616,0.0001207,-0.0001207
14.0,13.5,14.5,0.01524,0.0001674,-0.0001611,6.298e-05,-6.298e-05
15.0,14.5,15.5,0.01296,0.0001664,-0.0001559,5.219e-05,-5.219e-05
16.0,15.5,16.5,0.011,0.0001613,-0.0001505,8.384e-05,-8.384e-05
17.0,16.5,17.5,0.009298,0.0001544,-0.0001443,0.0001051,-0.0001051
18.0,17.5,18.5,0.007887,0.0001473,-0.0001363,0.0001218,-0.0001218
19.0,18.5,19.5,0.00662,0.0001385,-0.000126,0.0001293,-0.0001293
20.0,19.5,20.5,0.005599,0.0001305,-0.0001166,0.0001285,-0.0001285
21.0,20.5,21.5,0.00473,0.0001212,-0.0001082,0.0001233,-0.0001233
22.0,21.5,22.5,0.003988,0.0001124,-0.0001007,0.0001191,-0.0001191
23.0,22.5,23.5,0.003331,0.0001042,-9.147e-05,0.0001202,-0.0001202
24.0,23.5,24.5,0.002775,9.502e-05,-8.18e-05,0.0001158,-0.0001158
25.0,24.5,25.5,0.002305,8.527e-05,-7.242e-05,0.0001105,-0.0001105
26.0,25.5,26.5,0.001904,7.518e-05,-6.35e-05,0.0001028,-0.0001028
27.0,26.5,27.5,0.001588,6.606e-05,-5.668e-05,9.362e-05,-9.362e-05
28.0,27.5,28.5,0.001309,5.818e-05,-4.977e-05,8.145e-05,-8.145e-05
29.0,28.5,29.5,0.001073,5.139e-05,-4.291e-05,7.221e-05,-7.221e-05
30.0,29.5,30.5,0.0009198,4.712e-05,-3.837e-05,6.923e-05,-6.923e-05
31.0,30.5,31.5,0.0007719,4.143e-05,-3.362e-05,6.43e-05,-6.43e-05
32.0,31.5,32.5,0.0006357,3.565e-05,-2.906e-05,5.621e-05,-5.621e-05
33.0,32.5,33.5,0.000509,2.97e-05,-2.468e-05,4.668e-05,-4.668e-05
34.0,33.5,34.5,0.0004135,2.576e-05,-2.125e-05,4.072e-05,-4.072e-05
35.0,34.5,35.5,0.0003363,2.236e-05,-1.799e-05,3.631e-05,-3.631e-05
36.0,35.5,36.5,0.0002616,1.819e-05,-1.443e-05,3.006e-05,-3.006e-05
37.0,36.5,37.5,0.0002231,1.61e-05,-1.277e-05,2.561e-05,-2.561e-05
38.0,37.5,38.5,0.0001793,1.36e-05,-1.089e-05,2.019e-05,-2.019e-05
39.0,38.5,39.5,0.0001425,1.138e-05,-9.227e-06,1.624e-05,-1.624e-05
40.0,39.5,40.5,0.0001212,1.004e-05,-7.897e-06,1.385e-05,-1.385e-05
41.0,40.5,41.5,9.257e-05,7.926e-06,-6.291e-06,1.097e-05,-1.097e-05
42.0,41.5,42.5,7.614e-05,6.823e-06,-5.082e-06,9.999e-06,-9.999e-06
43.0,42.5,43.5,6.385e-05,5.898e-06,-4.308e-06,9.174e-06,-9.174e-06
44.0,43.5,44.5,4.897e-05,4.53e-06,-3.415e-06,7.212e-06,-7.212e-06
45.0,44.5,45.5,4.291e-05,4.12e-06,-3.188e-06,6.375e-06,-6.375e-06
47.14,45.5,50.0,2.275e-05,2.256e-06,-1.629e-06,3.498e-06,-3.498e-06
51.5,50.0,55.0,1.017e-05,1.036e-06,-9.041e-07,1.608e-06,-1.608e-06

