#: table_doi: 10.17182/hepdata.72491.v1/t18
#: name: Table 18
#: description: Extrapolated average transverse momentum  in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table18.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.8284,0.0006442,-0.0006442,0.01663,-0.01663
2.0,1.5,2.5,0.8706,0.0006867,-0.0006867,0.01054,-0.01054
3.0,2.5,3.5,0.911,0.0007454,-0.0007454,0.004939,-0.004939
4.0,3.5,4.5,0.9445,0.0007972,-0.0007972,0.003742,-0.003742
5.0,4.5,5.5,0.9724,0.0008464,-0.0008464,0.00338,-0.00338
6.0,5.5,6.5,0.9955,0.0008971,-0.0008971,0.0041,-0.0041
7.0,6.5,7.5,1.015,0.0009511,-0.0009511,0.004889,-0.004889
8.0,7.5,8.5,1.032,0.001011,-0.001011,0.005592,-0.005592
9.0,8.5,9.5,1.047,0.001076,-0.001076,0.006272,-0.006272
10.0,9.5,10.5,1.06,0.001149,-0.001149,0.006884,-0.006884
11.0,10.5,11.5,1.073,0.001229,-0.001229,0.007466,-0.007466
12.0,11.5,12.5,1.085,0.001319,-0.001319,0.008269,-0.008269
13.0,12.5,13.5,1.096,0.001416,-0.001416,0.00879,-0.00879
14.0,13.5,14.5,1.106,0.001525,-0.001525,0.009406,-0.009406
15.0,14.5,15.5,1.115,0.00164,-0.00164,0.009756,-0.009756
16.0,15.5,16.5,1.124,0.001771,-0.001771,0.01045,-0.01045
17.0,16.5,17.5,1.133,0.001914,-0.001914,0.01053,-0.01053
18.0,17.5,18.5,1.142,0.002077,-0.002077,0.01137,-0.01137
19.0,18.5,19.5,1.149,0.002248,-0.002248,0.01165,-0.01165
20.0,19.5,20.5,1.157,0.002442,-0.002442,0.01179,-0.01179
21.0,20.5,21.5,1.165,0.002654,-0.002654,0.01181,-0.01181
22.0,21.5,22.5,1.172,0.002897,-0.002897,0.01271,-0.01271
23.0,22.5,23.5,1.18,0.003166,-0.003166,0.01318,-0.01318
24.0,23.5,24.5,1.187,0.003453,-0.003453,0.013,-0.013
25.0,24.5,25.5,1.194,0.00378,-0.00378,0.01281,-0.01281
26.0,25.5,26.5,1.2,0.004135,-0.004135,0.0131,-0.0131
27.0,26.5,27.5,1.207,0.004554,-0.004554,0.01255,-0.01255
28.0,27.5,28.5,1.215,0.004991,-0.004991,0.01618,-0.01618
29.0,28.5,29.5,1.218,0.005465,-0.005465,0.01137,-0.01137
30.0,29.5,30.5,1.225,0.006005,-0.006005,0.01442,-0.01442
31.0,30.5,31.5,1.229,0.006603,-0.006603,0.01466,-0.01466
32.0,31.5,32.5,1.234,0.007322,-0.007322,0.01303,-0.01303
33.0,32.5,33.5,1.241,0.008072,-0.008072,0.01365,-0.01365
34.0,33.5,34.5,1.246,0.009058,-0.009058,0.01221,-0.01221
35.0,34.5,35.5,1.255,0.01005,-0.01005,0.01768,-0.01768
36.0,35.5,36.5,1.259,0.01123,-0.01123,0.0139,-0.0139
37.0,36.5,37.5,1.267,0.01246,-0.01246,0.0144,-0.0144
38.0,37.5,38.5,1.271,0.01373,-0.01373,0.01179,-0.01179
39.0,38.5,39.5,1.279,0.01575,-0.01575,0.01419,-0.01419
40.0,39.5,40.5,1.284,0.0172,-0.0172,0.01601,-0.01601
41.0,40.5,41.5,1.287,0.01906,-0.01906,0.01652,-0.01652
42.0,41.5,42.5,1.289,0.02108,-0.02108,0.01308,-0.01308
43.0,42.5,43.5,1.288,0.02423,-0.02423,0.01322,-0.01322
44.0,43.5,44.5,1.287,0.0271,-0.0271,0.0105,-0.0105
45.0,44.5,45.5,1.311,0.02991,-0.02991,0.01882,-0.01882
47.14,45.5,50.0,1.324,0.03606,-0.03606,0.01713,-0.01713
51.5,50.0,55.0,1.347,0.05707,-0.05707,0.01522,-0.01522

