#: table_doi: 10.17182/hepdata.72491.v1/t3
#: name: Table 3
#: description: Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of pseudorapidity for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table3.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
ETARAP(P=3),ETARAP(P=3) LOW,ETARAP(P=3) HIGH,(1/NEV)*DN(P=3)/DETARAP(P=3),stat +,stat -,sys +,sys -
-2.45,-2.5,-2.4,2.67,0.002104,-0.002104,0.04429,-0.04346
-2.3499999999999996,-2.4,-2.3,2.753,0.002089,-0.002089,0.04642,-0.0455
-2.25,-2.3,-2.2,2.789,0.002051,-0.002051,0.0439,-0.04316
-2.1500000000000004,-2.2,-2.1,2.758,0.001984,-0.001984,0.04327,-0.04253
-2.05,-2.1,-2.0,2.782,0.001999,-0.001999,0.04351,-0.04278
-1.95,-2.0,-1.9,2.822,0.002045,-0.002045,0.04417,-0.04343
-1.85,-1.9,-1.8,2.845,0.002053,-0.002053,0.04569,-0.04487
-1.75,-1.8,-1.7,2.843,0.002033,-0.002033,0.04744,-0.04653
-1.65,-1.7,-1.6,2.84,0.002,-0.002,0.04515,-0.04436
-1.55,-1.6,-1.5,2.876,0.002001,-0.002001,0.04387,-0.04317
-1.45,-1.5,-1.4,2.881,0.002003,-0.002003,0.0387,-0.03826
-1.35,-1.4,-1.3,2.887,0.001984,-0.001984,0.03883,-0.03838
-1.25,-1.3,-1.2,2.901,0.001965,-0.001965,0.03569,-0.03538
-1.15,-1.2,-1.1,2.914,0.001972,-0.001972,0.03584,-0.03553
-1.05,-1.1,-1.0,2.911,0.001934,-0.001934,0.03536,-0.03507
-0.95,-1.0,-0.9,2.911,0.001918,-0.001918,0.03542,-0.03512
-0.8500000000000001,-0.9,-0.8,2.906,0.001908,-0.001908,0.03363,-0.03339
-0.75,-0.8,-0.7,2.901,0.001898,-0.001898,0.0336,-0.03336
-0.6499999999999999,-0.7,-0.6,2.898,0.00189,-0.00189,0.03308,-0.03286
-0.55,-0.6,-0.5,2.892,0.001885,-0.001885,0.03302,-0.03279
-0.45,-0.5,-0.4,2.888,0.00188,-0.00188,0.03256,-0.03235
-0.35,-0.4,-0.3,2.883,0.001876,-0.001876,0.0325,-0.03229
-0.25,-0.3,-0.2,2.882,0.001876,-0.001876,0.03233,-0.03213
-0.15000000000000002,-0.2,-0.1,2.879,0.001876,-0.001876,0.03229,-0.03208
-0.04999999999999982,-0.1,3.608e-16,2.879,0.001882,-0.001882,0.03274,-0.03252
0.05,0.0,0.1,2.872,0.001879,-0.001879,0.03266,-0.03244
0.15000000000000002,0.1,0.2,2.87,0.001873,-0.001873,0.0332,-0.03296
0.25,0.2,0.3,2.871,0.001873,-0.001873,0.03321,-0.03297
0.35,0.3,0.4,2.875,0.001874,-0.001874,0.03288,-0.03266
0.45,0.4,0.5,2.882,0.001877,-0.001877,0.03295,-0.03272
0.55,0.5,0.6,2.883,0.001882,-0.001882,0.03331,-0.03307
0.6499999999999999,0.6,0.7,2.888,0.001887,-0.001887,0.03335,-0.03311
0.75,0.7,0.8,2.888,0.001893,-0.001893,0.03343,-0.03319
0.8500000000000001,0.8,0.9,2.897,0.001902,-0.001902,0.03351,-0.03327
0.95,0.9,1.0,2.901,0.001911,-0.001911,0.03488,-0.03459
1.05,1.0,1.1,2.908,0.001925,-0.001925,0.03492,-0.03464
1.15,1.1,1.2,2.898,0.001959,-0.001959,0.03575,-0.03544
1.25,1.2,1.3,2.889,0.00196,-0.00196,0.03563,-0.03531
1.35,1.3,1.4,2.874,0.00197,-0.00197,0.03735,-0.03696
1.45,1.4,1.5,2.86,0.001984,-0.001984,0.03714,-0.03675
1.55,1.5,1.6,2.864,0.001999,-0.001999,0.04474,-0.04399
1.65,1.6,1.7,2.845,0.001995,-0.001995,0.04299,-0.04233
1.75,1.7,1.8,2.818,0.002016,-0.002016,0.04449,-0.04372
1.85,1.8,1.9,2.817,0.002038,-0.002038,0.04334,-0.04264
1.95,1.9,2.0,2.819,0.002052,-0.002052,0.04405,-0.04331
2.05,2.0,2.1,2.804,0.002031,-0.002031,0.04501,-0.04421
2.1500000000000004,2.1,2.2,2.754,0.00199,-0.00199,0.04364,-0.04289
2.25,2.2,2.3,2.763,0.002024,-0.002024,0.04356,-0.04281
2.3499999999999996,2.3,2.4,2.737,0.002071,-0.002071,0.04516,-0.0443
2.45,2.4,2.5,2.666,0.002082,-0.002082,0.04345,-0.04266

