#: table_doi: 10.17182/hepdata.72491.v1/t4
#: name: Table 4
#: description: Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table4.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/NEV)*(1/(2PI*PT(P=3))*DN(P=3)/DETARAP(P=3)/DPT(P=3) [GEV**-2],stat +,stat -,sys +,sys -
0.5474,0.5,0.6,1.685,0.0003266,-0.0003266,0.0204,-0.02008
0.648,0.6,0.7,1.102,0.0002341,-0.0002341,0.01316,-0.01296
0.7481,0.7,0.8,0.7422,0.0001766,-0.0001766,0.008729,-0.008602
0.8482,0.8,0.9,0.513,0.0001357,-0.0001357,0.006058,-0.005969
0.9482,0.9,1.0,0.3634,0.0001079,-0.0001079,0.004279,-0.004217
1.049,1.0,1.1,0.2616,0.0001012,-0.0001012,0.004,-0.003968
1.149,1.1,1.2,0.1918,8.008e-05,-8.008e-05,0.002954,-0.00293
1.249,1.2,1.3,0.1425,6.078e-05,-6.078e-05,0.002199,-0.002181
1.349,1.3,1.4,0.1075,4.855e-05,-4.855e-05,0.00164,-0.001627
1.449,1.4,1.5,0.08174,4.44e-05,-4.44e-05,0.00125,-0.00124
1.549,1.5,1.6,0.06297,3.632e-05,-3.632e-05,0.0009558,-0.0009488
1.649,1.6,1.7,0.04885,2.946e-05,-2.946e-05,0.0007412,-0.0007358
1.749,1.7,1.8,0.03827,2.495e-05,-2.495e-05,0.0005816,-0.0005774
1.849,1.8,1.9,0.03024,1.993e-05,-1.993e-05,0.0004604,-0.000457
1.949,1.9,2.0,0.02399,1.882e-05,-1.882e-05,0.0003649,-0.0003622
2.049,2.0,2.1,0.01916,1.477e-05,-1.477e-05,0.0002889,-0.0002869
2.149,2.1,2.2,0.01546,1.331e-05,-1.331e-05,0.0002332,-0.0002316
2.249,2.2,2.3,0.01249,1.23e-05,-1.23e-05,0.0001889,-0.0001877
2.349,2.3,2.4,0.01018,1.038e-05,-1.038e-05,0.0001545,-0.0001534
2.449,2.4,2.5,0.00832,8.679e-06,-8.679e-06,0.0001263,-0.0001255
2.596,2.5,2.7,0.006237,6.014e-06,-6.014e-06,9.406e-05,-9.343e-05
2.796,2.7,2.9,0.004308,4.399e-06,-4.399e-06,6.522e-05,-6.478e-05
2.996,2.9,3.1,0.00301,4.121e-06,-4.121e-06,4.59e-05,-4.558e-05
3.197,3.1,3.3,0.002154,3.021e-06,-3.021e-06,3.312e-05,-3.289e-05
3.397,3.3,3.5,0.001551,2.314e-06,-2.314e-06,2.395e-05,-2.378e-05
3.726,3.5,4.0,0.0009311,1.074e-06,-1.074e-06,1.418e-05,-1.408e-05
4.228,4.0,4.5,0.0004593,6.565e-07,-6.565e-07,7.207e-06,-7.163e-06
4.731,4.5,5.0,0.0002434,4.137e-07,-4.137e-07,3.89e-06,-3.866e-06
5.43,5.0,6.0,0.0001078,1.76e-07,-1.76e-07,1.705e-06,-1.695e-06
6.442,6.0,7.0,4e-05,8.184e-08,-8.184e-08,6.42e-07,-6.379e-07
7.445,7.0,8.0,1.709e-05,4.439e-08,-4.439e-08,2.794e-07,-2.776e-07
8.45,8.0,9.0,8.225e-06,2.609e-08,-2.609e-08,1.355e-07,-1.346e-07
9.464,9.0,10.0,4.099e-06,1.573e-08,-1.573e-08,6.714e-08,-6.668e-08
11.71,10.0,15.0,1.076e-06,4.13e-09,-4.13e-09,2.508e-08,-2.5e-08
16.95,15.0,20.0,1.297e-07,9.43e-10,-9.43e-10,3.37e-09,-3.361e-09
23.57,20.0,30.0,1.779e-08,2.406e-10,-2.406e-10,5.757e-10,-5.747e-10
36.31,30.0,50.0,1.09e-09,3.786e-11,-3.786e-11,6.243e-11,-6.23e-11

