#: table_doi: 10.17182/hepdata.72491.v1/t5
#: name: Table 5
#: description: Charged-particle multiplicity distribution in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table5.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DNEV/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,(1/NEV)*DNEV/DN(P=3),stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.08067,8.355e-05,-8.355e-05,0.0034,-0.003399
2.0,1.5,2.5,0.08245,6.212e-05,-6.212e-05,0.001888,-0.001887
3.0,2.5,3.5,0.07496,5.141e-05,-5.141e-05,0.0009747,-0.0009739
4.0,3.5,4.5,0.06445,4.37e-05,-4.37e-05,0.0003906,-0.0003899
5.0,4.5,5.5,0.05476,3.774e-05,-3.774e-05,0.0002422,-0.0002435
6.0,5.5,6.5,0.04714,3.332e-05,-3.332e-05,0.0001542,-0.0001655
7.0,6.5,7.5,0.04117,2.989e-05,-2.989e-05,0.0001071,-0.0001154
8.0,7.5,8.5,0.03655,2.719e-05,-2.719e-05,7.977e-05,-8.713e-05
9.0,8.5,9.5,0.03298,2.508e-05,-2.508e-05,7.101e-05,-6.973e-05
10.0,9.5,10.5,0.03013,2.337e-05,-2.337e-05,7.051e-05,-5.43e-05
11.0,10.5,11.5,0.02778,2.193e-05,-2.193e-05,6.502e-05,-4.397e-05
12.0,11.5,12.5,0.02583,2.076e-05,-2.076e-05,4.974e-05,-3.904e-05
13.0,12.5,13.5,0.02404,1.965e-05,-1.965e-05,3.133e-05,-3.425e-05
14.0,13.5,14.5,0.02235,1.858e-05,-1.858e-05,1.637e-05,-2.645e-05
15.0,14.5,15.5,0.02089,1.766e-05,-1.766e-05,7.842e-06,-1.576e-05
16.0,15.5,16.5,0.01957,1.683e-05,-1.683e-05,6.381e-06,-5.737e-06
17.0,16.5,17.5,0.01838,1.608e-05,-1.608e-05,1.094e-05,-6.931e-06
18.0,17.5,18.5,0.01727,1.535e-05,-1.535e-05,1.835e-05,-1.226e-05
19.0,18.5,19.5,0.01626,1.471e-05,-1.471e-05,2.336e-05,-1.924e-05
20.0,19.5,20.5,0.0154,1.416e-05,-1.416e-05,2.666e-05,-2.796e-05
21.0,20.5,21.5,0.01454,1.362e-05,-1.362e-05,2.948e-05,-3.794e-05
22.0,21.5,22.5,0.01373,1.308e-05,-1.308e-05,3.248e-05,-4.782e-05
23.0,22.5,23.5,0.01298,1.26e-05,-1.26e-05,3.665e-05,-5.639e-05
24.0,23.5,24.5,0.0122,1.204e-05,-1.204e-05,4.23e-05,-6.131e-05
25.0,24.5,25.5,0.01154,1.162e-05,-1.162e-05,4.964e-05,-6.45e-05
26.0,25.5,26.5,0.01092,1.121e-05,-1.121e-05,5.7e-05,-6.695e-05
27.0,26.5,27.5,0.01028,1.077e-05,-1.077e-05,6.284e-05,-6.924e-05
28.0,27.5,28.5,0.009739,1.041e-05,-1.041e-05,6.753e-05,-7.305e-05
29.0,28.5,29.5,0.009188,1.002e-05,-1.002e-05,7.04e-05,-7.674e-05
30.0,29.5,30.5,0.008704,9.67e-06,-9.67e-06,7.279e-05,-8.022e-05
31.0,30.5,31.5,0.008184,9.295e-06,-9.295e-06,7.43e-05,-8.261e-05
32.0,31.5,32.5,0.007716,8.946e-06,-8.946e-06,7.612e-05,-8.491e-05
33.0,32.5,33.5,0.007297,8.662e-06,-8.662e-06,7.819e-05,-8.713e-05
34.0,33.5,34.5,0.006906,8.357e-06,-8.357e-06,8.078e-05,-8.824e-05
35.0,34.5,35.5,0.006509,8.074e-06,-8.074e-06,8.351e-05,-8.857e-05
36.0,35.5,36.5,0.006115,7.751e-06,-7.751e-06,8.607e-05,-8.738e-05
37.0,36.5,37.5,0.005774,7.493e-06,-7.493e-06,8.909e-05,-8.585e-05
38.0,37.5,38.5,0.005429,7.212e-06,-7.212e-06,9.098e-05,-8.375e-05
39.0,38.5,39.5,0.005124,6.972e-06,-6.972e-06,9.229e-05,-8.222e-05
40.0,39.5,40.5,0.004823,6.719e-06,-6.719e-06,9.227e-05,-8.117e-05
41.0,40.5,41.5,0.004547,6.487e-06,-6.487e-06,9.101e-05,-8.109e-05
42.0,41.5,42.5,0.004273,6.261e-06,-6.261e-06,8.877e-05,-8.156e-05
43.0,42.5,43.5,0.003996,5.987e-06,-5.987e-06,8.568e-05,-8.157e-05
44.0,43.5,44.5,0.003809,5.851e-06,-5.851e-06,8.37e-05,-8.362e-05
45.0,44.5,45.5,0.003554,5.63e-06,-5.63e-06,8.111e-05,-8.311e-05
46.0,45.5,46.5,0.003345,5.431e-06,-5.431e-06,7.971e-05,-8.279e-05
47.0,46.5,47.5,0.00314,5.221e-06,-5.221e-06,7.871e-05,-8.147e-05
48.0,47.5,48.5,0.00294,5.027e-06,-5.027e-06,7.773e-05,-7.938e-05
49.0,48.5,49.5,0.002734,4.819e-06,-4.819e-06,7.634e-05,-7.632e-05
50.0,49.5,50.5,0.002575,4.663e-06,-4.663e-06,7.568e-05,-7.443e-05
51.0,50.5,51.5,0.002373,4.414e-06,-4.414e-06,7.326e-05,-7.079e-05
52.0,51.5,52.5,0.00225,4.324e-06,-4.324e-06,7.251e-05,-6.957e-05
53.0,52.5,53.5,0.002099,4.143e-06,-4.143e-06,7.037e-05,-6.693e-05
54.0,53.5,54.5,0.001955,3.973e-06,-3.973e-06,6.779e-05,-6.41e-05
55.0,54.5,55.5,0.001823,3.814e-06,-3.814e-06,6.552e-05,-6.152e-05
56.0,55.5,56.5,0.001717,3.692e-06,-3.692e-06,6.348e-05,-5.951e-05
57.0,56.5,57.5,0.001611,3.577e-06,-3.577e-06,6.15e-05,-5.724e-05
58.0,57.5,58.5,0.001481,3.394e-06,-3.394e-06,5.838e-05,-5.421e-05
59.0,58.5,59.5,0.001398,3.294e-06,-3.294e-06,5.675e-05,-5.263e-05
60.0,59.5,60.5,0.001305,3.177e-06,-3.177e-06,5.453e-05,-5.065e-05
61.48,60.5,62.5,0.001174,2.114e-06,-2.114e-06,5.131e-05,-4.79e-05
63.48,62.5,64.5,0.001011,1.944e-06,-1.944e-06,4.676e-05,-4.418e-05
65.48,64.5,66.5,0.0008774,1.805e-06,-1.805e-06,4.309e-05,-4.081e-05
67.48,66.5,68.5,0.0007577,1.661e-06,-1.661e-06,3.942e-05,-3.728e-05
69.48,68.5,70.5,0.000647,1.519e-06,-1.519e-06,3.578e-05,-3.372e-05
71.48,70.5,72.5,0.0005519,1.387e-06,-1.387e-06,3.252e-05,-3.032e-05
73.48,72.5,74.5,0.0004818,1.302e-06,-1.302e-06,3.005e-05,-2.805e-05
75.48,74.5,76.5,0.0004112,1.19e-06,-1.19e-06,2.705e-05,-2.524e-05
77.48,76.5,78.5,0.0003486,1.082e-06,-1.082e-06,2.412e-05,-2.244e-05
79.47,78.5,80.5,0.0002965,9.949e-07,-9.949e-07,2.133e-05,-1.994e-05
