#: table_doi: 10.17182/hepdata.72491.v1/t6
#: name: Table 6
#: description: Average transverse momentum  in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table6.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.7729,0.0007991,-0.0007991,0.01546,-0.01546
2.0,1.5,2.5,0.7891,0.0006522,-0.0006522,0.01579,-0.01579
3.0,2.5,3.5,0.8075,0.0006202,-0.0006202,0.008116,-0.008116
4.0,3.5,4.5,0.8269,0.0006238,-0.0006238,0.008341,-0.008341
5.0,4.5,5.5,0.8463,0.0006423,-0.0006423,0.002489,-0.002489
6.0,5.5,6.5,0.8647,0.0006667,-0.0006667,0.002601,-0.002601
7.0,6.5,7.5,0.8815,0.0006922,-0.0006922,0.002684,-0.002684
8.0,7.5,8.5,0.8967,0.0007167,-0.0007167,0.002743,-0.002743
9.0,8.5,9.5,0.9101,0.000739,-0.000739,0.002787,-0.002787
10.0,9.5,10.5,0.9222,0.0007601,-0.0007601,0.002826,-0.002826
11.0,10.5,11.5,0.9331,0.0007798,-0.0007798,0.002856,-0.002856
12.0,11.5,12.5,0.943,0.0007999,-0.0007999,0.002879,-0.002879
13.0,12.5,13.5,0.952,0.0008189,-0.0008189,0.002898,-0.002898
14.0,13.5,14.5,0.9604,0.0008386,-0.0008386,0.002913,-0.002913
15.0,14.5,15.5,0.9682,0.0008582,-0.0008582,0.002924,-0.002924
16.0,15.5,16.5,0.9755,0.0008781,-0.0008781,0.002937,-0.002937
17.0,16.5,17.5,0.9824,0.0008978,-0.0008978,0.002955,-0.002955
18.0,17.5,18.5,0.9889,0.0009167,-0.0009167,0.002977,-0.002977
19.0,18.5,19.5,0.995,0.0009374,-0.0009374,0.003001,-0.003001
