#: table_doi: 10.17182/hepdata.72491.v1/t7
#: name: Table 7
#: description: Extrapolated charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of pseudorapidity for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table7.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
ETARAP(P=3),ETARAP(P=3) LOW,ETARAP(P=3) HIGH,(1/NEV)*DN(P=3)/DETARAP(P=3),stat +,stat -,sys +,sys -
-2.45,-2.5,-2.4,2.754,0.002172,-0.002172,0.05229,-0.05154
-2.3499999999999996,-2.4,-2.3,2.839,0.002157,-0.002157,0.05454,-0.05371
-2.25,-2.3,-2.2,2.877,0.002117,-0.002117,0.0527,-0.05204
-2.1500000000000004,-2.2,-2.1,2.845,0.002049,-0.002049,0.05228,-0.05164
-2.05,-2.1,-2.0,2.87,0.002064,-0.002064,0.0527,-0.05206
-1.95,-2.0,-1.9,2.91,0.002111,-0.002111,0.05364,-0.053
-1.85,-1.9,-1.8,2.932,0.002119,-0.002119,0.0549,-0.05419
-1.75,-1.8,-1.7,2.929,0.002097,-0.002097,0.05624,-0.05542
-1.65,-1.7,-1.6,2.926,0.002063,-0.002063,0.05437,-0.05368
-1.55,-1.6,-1.5,2.963,0.002063,-0.002063,0.05358,-0.05298
-1.45,-1.5,-1.4,2.966,0.002065,-0.002065,0.04935,-0.04898
-1.35,-1.4,-1.3,2.971,0.002043,-0.002043,0.04908,-0.04871
-1.25,-1.3,-1.2,2.984,0.002023,-0.002023,0.0463,-0.04605
-1.15,-1.2,-1.1,2.996,0.002029,-0.002029,0.04621,-0.04595
-1.05,-1.1,-1.0,2.991,0.001989,-0.001989,0.0458,-0.04556
-0.95,-1.0,-0.9,2.99,0.001972,-0.001972,0.04631,-0.04607
-0.8500000000000001,-0.9,-0.8,2.984,0.001961,-0.001961,0.04488,-0.04469
-0.75,-0.8,-0.7,2.978,0.001951,-0.001951,0.0444,-0.04421
-0.6499999999999999,-0.7,-0.6,2.972,0.001941,-0.001941,0.04318,-0.043
-0.55,-0.6,-0.5,2.964,0.001934,-0.001934,0.04265,-0.04247
-0.45,-0.5,-0.4,2.96,0.001928,-0.001928,0.04229,-0.04212
-0.35,-0.4,-0.3,2.954,0.001924,-0.001924,0.04255,-0.04238
-0.25,-0.3,-0.2,2.953,0.001924,-0.001924,0.04247,-0.0423
-0.15000000000000002,-0.2,-0.1,2.948,0.001923,-0.001923,0.04213,-0.04197
-0.04999999999999982,-0.1,3.608e-16,2.948,0.001929,-0.001929,0.04202,-0.04184
0.05,0.0,0.1,2.941,0.001926,-0.001926,0.04186,-0.04168
0.15000000000000002,0.1,0.2,2.94,0.00192,-0.00192,0.04284,-0.04265
0.25,0.2,0.3,2.942,0.001921,-0.001921,0.0432,-0.04301
0.35,0.3,0.4,2.947,0.001922,-0.001922,0.04288,-0.04269
0.45,0.4,0.5,2.953,0.001926,-0.001926,0.04265,-0.04247
0.55,0.5,0.6,2.956,0.001931,-0.001931,0.04293,-0.04274
0.6499999999999999,0.6,0.7,2.961,0.001937,-0.001937,0.04324,-0.04305
0.75,0.7,0.8,2.964,0.001945,-0.001945,0.04413,-0.04394
0.8500000000000001,0.8,0.9,2.975,0.001956,-0.001956,0.04463,-0.04444
0.95,0.9,1.0,2.981,0.001966,-0.001966,0.04579,-0.04557
1.05,1.0,1.1,2.988,0.00198,-0.00198,0.0455,-0.04527
1.15,1.1,1.2,2.979,0.002016,-0.002016,0.04606,-0.0458
1.25,1.2,1.3,2.971,0.002018,-0.002018,0.04598,-0.04572
1.35,1.3,1.4,2.958,0.00203,-0.00203,0.04785,-0.04753
1.45,1.4,1.5,2.945,0.002045,-0.002045,0.04794,-0.04762
1.55,1.5,1.6,2.949,0.002061,-0.002061,0.05424,-0.05358
1.65,1.6,1.7,2.931,0.002057,-0.002057,0.05241,-0.05183
1.75,1.7,1.8,2.904,0.002079,-0.002079,0.05348,-0.0528
1.85,1.8,1.9,2.904,0.002103,-0.002103,0.05267,-0.05206
1.95,1.9,2.0,2.907,0.002118,-0.002118,0.05346,-0.05281
2.05,2.0,2.1,2.892,0.002097,-0.002097,0.05418,-0.05347
2.1500000000000004,2.1,2.2,2.841,0.002055,-0.002055,0.05265,-0.05199
2.25,2.2,2.3,2.85,0.00209,-0.00209,0.05228,-0.05162
2.3499999999999996,2.3,2.4,2.823,0.002139,-0.002139,0.05336,-0.0526
2.45,2.4,2.5,2.751,0.002149,-0.002149,0.05153,-0.05083

