#: table_doi: 10.17182/hepdata.72491.v1/t8
#: name: Table 8
#: description: Extrapolated charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table8.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/NEV)*(1/(2PI*PT(P=3))*DN(P=3)/DETARAP(P=3)/DPT(P=3) [GEV**-2],stat +,stat -,sys +,sys -
0.5474,0.5,0.6,1.697,0.0003291,-0.0003291,0.02061,-0.02029
0.648,0.6,0.7,1.114,0.0002368,-0.0002368,0.01347,-0.01328
0.7481,0.7,0.8,0.7538,0.0001795,-0.0001795,0.0093,-0.009177
0.8482,0.8,0.9,0.5233,0.0001386,-0.0001386,0.006834,-0.006752
0.9482,0.9,1.0,0.3724,0.0001107,-0.0001107,0.005178,-0.005125
1.049,1.0,1.1,0.2693,0.0001043,-0.0001043,0.004805,-0.004777
1.149,1.1,1.2,0.1984,8.296e-05,-8.296e-05,0.003755,-0.003735
1.249,1.2,1.3,0.1483,6.336e-05,-6.336e-05,0.00305,-0.003036
1.349,1.3,1.4,0.1125,5.096e-05,-5.096e-05,0.002556,-0.002547
1.449,1.4,1.5,0.0861,4.689e-05,-4.689e-05,0.002173,-0.002167
1.549,1.5,1.6,0.06672,3.86e-05,-3.86e-05,0.00184,-0.001836
1.649,1.6,1.7,0.05204,3.15e-05,-3.15e-05,0.001548,-0.001545
1.749,1.7,1.8,0.04099,2.684e-05,-2.684e-05,0.001315,-0.001313
1.849,1.8,1.9,0.03255,2.156e-05,-2.156e-05,0.001114,-0.001112
1.949,1.9,2.0,0.02595,2.045e-05,-2.045e-05,0.0009432,-0.000942
2.049,2.0,2.1,0.02082,1.615e-05,-1.615e-05,0.0008034,-0.0008025
2.149,2.1,2.2,0.01688,1.462e-05,-1.462e-05,0.0006881,-0.0006875
2.249,2.2,2.3,0.01369,1.356e-05,-1.356e-05,0.0005849,-0.0005844
2.349,2.3,2.4,0.0112,1.15e-05,-1.15e-05,0.0005038,-0.0005035
2.449,2.4,2.5,0.009192,9.659e-06,-9.659e-06,0.00043,-0.0004297
2.596,2.5,2.7,0.006924,6.715e-06,-6.715e-06,0.000341,-0.0003408
2.796,2.7,2.9,0.004809,4.945e-06,-4.945e-06,0.0002513,-0.0002512
2.996,2.9,3.1,0.003373,4.643e-06,-4.643e-06,0.0001829,-0.0001828
3.197,3.1,3.3,0.002422,3.421e-06,-3.421e-06,0.0001357,-0.0001357
3.397,3.3,3.5,0.001747,2.627e-06,-2.627e-06,9.938e-05,-9.933e-05
3.726,3.5,4.0,0.001051,1.223e-06,-1.223e-06,6.121e-05,-6.118e-05
4.228,4.0,4.5,0.000518,7.475e-07,-7.475e-07,2.954e-05,-2.953e-05
4.731,4.5,5.0,0.0002735,4.7e-07,-4.7e-07,1.485e-05,-1.484e-05
5.43,5.0,6.0,0.0001202,1.985e-07,-1.985e-07,5.833e-06,-5.829e-06
6.442,6.0,7.0,4.408e-05,9.151e-08,-9.151e-08,1.748e-06,-1.746e-06
7.445,7.0,8.0,1.86e-05,4.911e-08,-4.911e-08,5.669e-07,-5.659e-07
8.45,8.0,9.0,8.86e-06,2.861e-08,-2.861e-08,2.043e-07,-2.036e-07
9.464,9.0,10.0,4.373e-06,1.709e-08,-1.709e-08,7.879e-08,-7.836e-08
11.71,10.0,15.0,1.137e-06,4.41e-09,-4.41e-09,2.925e-08,-2.917e-08
16.95,15.0,20.0,1.357e-07,9.998e-10,-9.998e-10,3.821e-09,-3.813e-09
23.57,20.0,30.0,1.857e-08,2.536e-10,-2.536e-10,6.33e-10,-6.32e-10
36.31,30.0,50.0,1.142e-09,3.999e-11,-3.999e-11,6.637e-11,-6.623e-11

