#: table_doi: 10.17182/hepdata.57077.v1/t23
#: name: Table 23
#: description: Average transverse momentum  in proton-proton collisions at a centre-of mass energy of 7000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table23.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,7000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.7711,0.0014,-0.0014,0.0232,-0.0232
2.0,1.5,2.5,0.7872,0.001,-0.001,0.0158,-0.0158
3.0,2.5,3.5,0.8053,0.0009,-0.0009,0.0162,-0.0162
4.0,3.5,4.5,0.8248,0.0008,-0.0008,0.0166,-0.0166
5.0,4.5,5.5,0.844,0.0008,-0.0008,0.017,-0.017
6.0,5.5,6.5,0.8621,0.0008,-0.0008,0.0174,-0.0174
7.0,6.5,7.5,0.8783,0.0008,-0.0008,0.0178,-0.0178
8.0,7.5,8.5,0.893,0.0009,-0.0009,0.0181,-0.0181
9.0,8.5,9.5,0.906,0.0009,-0.0009,0.0183,-0.0183
10.0,9.5,10.5,0.9176,0.0009,-0.0009,0.0185,-0.0185
11.0,10.5,11.5,0.9281,0.0009,-0.0009,0.0188,-0.0188
12.0,11.5,12.5,0.9377,0.0009,-0.0009,0.0189,-0.0189
13.0,12.5,13.5,0.9465,0.0009,-0.0009,0.0191,-0.0191
14.0,13.5,14.5,0.9546,0.0009,-0.0009,0.0193,-0.0193
15.0,14.5,15.5,0.9621,0.0009,-0.0009,0.0194,-0.0194
16.0,15.5,16.5,0.9693,0.0009,-0.0009,0.0196,-0.0196
17.0,16.5,17.5,0.9758,0.0009,-0.0009,0.0197,-0.0197
18.0,17.5,18.5,0.9821,0.0009,-0.0009,0.0198,-0.0198
19.0,18.5,19.5,0.9882,0.001,-0.001,0.02,-0.02
20.0,19.5,20.5,0.9939,0.001,-0.001,0.0201,-0.0201
21.0,20.5,21.5,0.9994,0.001,-0.001,0.0202,-0.0202
22.0,21.5,22.5,1.005,0.001,-0.001,0.02,-0.02
23.0,22.5,23.5,1.01,0.001,-0.001,0.02,-0.02
24.0,23.5,24.5,1.014,0.001,-0.001,0.02,-0.02
25.0,24.5,25.5,1.019,0.001,-0.001,0.021,-0.021
26.0,25.5,26.5,1.023,0.001,-0.001,0.021,-0.021
27.0,26.5,27.5,1.028,0.001,-0.001,0.021,-0.021
28.0,27.5,28.5,1.032,0.001,-0.001,0.021,-0.021
29.0,28.5,29.5,1.036,0.001,-0.001,0.021,-0.021
30.0,29.5,30.5,1.04,0.001,-0.001,0.021,-0.021
31.0,30.5,31.5,1.044,0.001,-0.001,0.021,-0.021
32.95,31.5,34.5,1.051,0.001,-0.001,0.021,-0.021
36.85,34.5,39.5,1.064,0.001,-0.001,0.021,-0.021
43.8,39.5,49.5,1.086,0.001,-0.001,0.022,-0.022
53.75,49.5,59.5,1.111,0.001,-0.001,0.022,-0.022
63.7,59.5,69.5,1.136,0.001,-0.001,0.023,-0.023
73.56,69.5,79.5,1.159,0.002,-0.002,0.024,-0.024
86.09,79.5,99.5,1.183,0.003,-0.003,0.024,-0.024
104.9,99.5,120.5,1.226,0.01,-0.01,0.025,-0.025

